box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
34,1,2.22670238353175307e+01,1,3.97986059999999995e+01,8.14969839677673669e+00,1.20585078652587541e+01,1.16524249631561633e-01,1.60000000000000000e+01,1.19559339836595768e+00
74,1,2.68469164864323915e+01,1,7.11588880000000046e+01,8.00613026078689316e+00,1.23097485716915980e+01,1.04386290630683609e-01,1.60000000000000000e+01,1.19559339836595768e+00
114,1,1.68003743743866352e+01,1,1.04406047000000001e+02,8.11239049256413836e+00,1.20304802268043698e+01,1.54789463339854216e-01,1.60000000000000000e+01,1.19559339836595768e+00
154,1,1.77841822069404003e+01,1,1.35616074999999995e+02,8.20559560162770651e+00,1.20072714996685281e+01,1.18009355103120647e-01,1.60000000000000000e+01,1.19559339836595768e+00
194,1,6.24943859088747899e+00,2,3.33216243000000020e+02,7.85700778930689747e+00,1.25707529604709993e+01,9.49406819805581337e-02,1.60000000000000000e+01,1.19559339836595768e+00
234,1,5.01765075161309326e+01,1,3.63308109999999999e+02,8.03801147065086674e+00,1.23111150003047225e+01,1.67792626511319487e-01,1.60000000000000000e+01,1.19559339836595768e+00
274,1,1.15056361463441732e+01,1,4.09478412999999989e+02,8.12635463295138294e+00,1.20904805736501668e+01,1.17774949730467343e-01,1.60000000000000000e+01,1.19559339836595768e+00
314,1,1.76635575076170142e+01,1,4.55595749000000012e+02,7.98671249063697175e+00,1.23833610701929704e+01,1.02704162044646968e-01,1.60000000000000000e+01,1.19559339836595768e+00
354,1,4.52172455003270386e+01,1,4.91564129999999977e+02,7.79795383269883402e+00,1.27437208270975137e+01,1.69068507496520082e-01,1.60000000000000000e+01,1.19559339836595768e+00
394,1,6.43418938770497562e+00,1,5.37686504000000014e+02,7.90531974071411891e+00,1.25036413288671202e+01,1.13374905873227239e-01,1.60000000000000000e+01,1.19559339836595768e+00
434,1,2.68509916024399331e-01,2,6.06240372999999977e+02,7.97696495480451517e+00,1.23693204632143310e+01,9.99686327648016404e-02,1.60000000000000000e+01,1.19559339836595768e+00
474,1,1.14979674973524340e+01,1,6.61763297999999963e+02,7.69167974793390297e+00,1.29262659658796171e+01,1.63681402369044882e-01,1.60000000000000000e+01,1.19559339836595768e+00
514,1,2.26262544087808095e+01,1,7.24775152000000048e+02,7.69875395441189703e+00,1.30192516659842816e+01,1.10034097158170974e-01,1.60000000000000000e+01,1.19559339836595768e+00
554,1,2.26672274433291108e+01,1,7.71195295999999985e+02,8.02089513975733404e+00,1.23967450954897966e+01,1.05450356580252674e-01,1.60000000000000000e+01,1.19559339836595768e+00
594,1,1.80855635403038590e+01,1,8.15058955999999966e+02,7.89905633635180493e+00,1.25784342752125156e+01,1.68030186099243500e-01,1.60000000000000000e+01,1.19559339836595768e+00
634,1,4.57954434852252490e+01,1,8.82752214999999978e+02,7.64366910702740565e+00,1.31678019212361139e+01,1.09056180509073175e-01,1.60000000000000000e+01,1.19559339836595768e+00
674,1,3.07199923345907706e+01,1,9.41122950999999944e+02,7.72410421523181689e+00,1.29959817492633807e+01,9.49073843041801646e-02,1.60000000000000000e+01,1.19559339836595768e+00
714,1,1.30607760396244004e+01,1,9.77292046000000028e+02,8.03655880752770102e+00,1.23259760069550559e+01,1.67004010674557862e-01,1.60000000000000000e+01,1.19559339836595768e+00
754,1,6.72703962293296698e+00,1,1.04041769700000009e+03,7.79438312084127549e+00,1.28575700615957658e+01,1.15225091756699025e-01,1.60000000000000000e+01,1.19559339836595768e+00
794,1,9.23887368142720078e+01,1,1.08661493100000007e+03,7.78743863996296426e+00,1.30345870108036923e+01,1.08646949197925585e-01,1.60000000000000000e+01,1.19559339836595768e+00
834,1,2.82882054874477653e+01,1,1.12273875300000009e+03,7.80867379571236864e+00,1.28506917517986690e+01,1.74378988106700439e-01,1.60000000000000000e+01,1.19559339836595768e+00
874,1,2.75842437726084384e+01,1,1.18716652599999998e+03,8.13602353381793542e+00,1.22683776873492310e+01,1.29825901402729954e-01,1.60000000000000000e+01,1.19559339836595768e+00
914,1,6.66724076012978344e+01,1,1.25175665899999990e+03,7.88900420662893520e+00,1.28765463148403096e+01,1.13756613724065272e-01,1.60000000000000000e+01,1.19559339836595768e+00
