box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
20,1,4.39775210923171755e+00,1,5.01351999999999975e+01,8.13296572963860598e+00,1.19966565811018455e+01
60,1,4.31273491282091470e-01,1,8.23580730000000045e+01,7.99100379175138897e+00,1.23615244644934368e+01
100,1,1.05306323236464294e+00,1,1.01092241999999999e+02,8.12952188430634770e+00,1.20767573639172170e+01
140,1,1.77931724099997979e+00,0,1.08479692999999997e+02,8.23691921165195495e+00,1.18174789190744658e+01
180,1,1.84137008697588556e+00,1,1.31216721000000007e+02,8.07550415939556920e+00,1.22876989601893349e+01
220,1,2.85890289713044865e+01,1,1.59946669000000014e+02,7.87538655684611300e+00,1.25322002597506561e+01
260,1,2.42760822480123437e+01,1,1.84527975999999995e+02,8.08683446349432344e+00,1.21554328874571951e+01
300,1,8.63045829217757898e+00,1,2.09103185999999994e+02,8.18141531625994389e+00,1.21889096938073322e+01
340,1,2.91172878738448446e+01,2,3.58268011000000001e+02,7.76691434269877412e+00,1.28601722462351926e+01
380,1,4.21265219624867342e+01,2,5.96633007000000021e+02,7.80200497367643919e+00,1.28241218588234425e+01
420,1,1.05040560765884763e+01,2,7.89687797000000046e+02,7.92500290188345513e+00,1.24560652537330441e+01
460,1,3.52125748253612869e+00,1,8.35530661000000009e+02,7.92420069908966518e+00,1.25486347187057703e+01
500,1,3.23430445749474629e+01,1,9.02287913000000003e+02,7.66229736852904786e+00,1.30794949018340123e+01
540,1,1.25897103677306532e+01,1,9.50931495000000041e+02,7.79663381887789342e+00,1.28085906234107458e+01
580,1,2.60053087667354887e+00,1,1.01818850199999997e+03,7.98398550028136267e+00,1.23868243758910612e+01
620,1,1.30056812806138140e+01,1,1.09723893300000009e+03,7.61955374869448487e+00,1.31390384163950191e+01
660,1,7.98952255453924778e+01,1,1.16521775400000001e+03,7.81606999988979467e+00,1.29276598705132901e+01
700,1,2.27213179730328676e+01,1,1.24468311399999993e+03,8.05887787324216553e+00,1.24608046759079496e+01
740,1,2.12751990271849003e+01,1,1.30881346000000008e+03,7.90547769727998340e+00,1.26198115030520484e+01
780,1,8.97198611399003454e+01,1,1.37792613699999993e+03,7.94717007372098561e+00,1.28028316609125383e+01
820,1,1.06410534826130814e+01,1,1.42701285200000007e+03,7.68220500556893260e+00,1.30995196669421237e+01
860,1,1.65742072480378440e+01,1,1.44810749800000008e+03,8.03699774170723735e+00,1.23542243000375755e+01
900,1,3.52227160917117459e+01,1,1.48136772700000006e+03,7.88285325466410391e+00,1.27322895133477765e+01
940,1,7.61627976712714343e+01,1,1.50065606899999989e+03,7.68989216699266720e+00,1.32212512008349226e+01
