box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
13,1,2.15167432740268367e+01,0,2.45949559999999998e+01,8.11451162483554533e+00,1.20799921807356014e+01,8.95025882873926037e-02,1.86527537670163959e+01,3.84834716538235355e+00
73,1,6.25063899221154671e+01,0,3.70018730000000033e+01,8.03724700842153084e+00,1.23030455088287134e+01,9.51181652118531784e-02,1.87231009517772122e+01,3.91869435014316991e+00
133,1,9.26643647626690381e-01,0,4.90022909999999996e+01,8.14442675871034361e+00,1.20785430101461682e+01,9.00584308225718944e-02,1.90365715916332867e+01,4.23216498999924440e+00
193,1,2.03422597996830063e+01,0,6.08613599999999977e+01,7.93317314938992624e+00,1.24957994695133934e+01,8.58205213823871327e-02,1.81932445881734495e+01,3.38883798653940715e+00
253,1,2.75244055376510488e+00,1,8.52707170000000048e+01,8.08933363230136493e+00,1.22635126109318779e+01,9.51101564634755092e-02,1.88080876344690822e+01,4.00368103283503984e+00
313,1,1.41649095298796510e+01,1,1.09003820000000005e+02,8.04444523716459869e+00,1.23431922181858429e+01,9.41648836564530634e-02,1.85517334585408875e+01,3.74732685690684519e+00
373,1,3.10866922352655521e+01,1,1.35633240000000001e+02,7.99246205601327109e+00,1.25333490287661515e+01,9.60308903337915853e-02,1.85690352836148271e+01,3.76462868198078482e+00
433,1,5.20944589301645067e+00,0,1.48466878000000008e+02,8.02530372906452349e+00,1.23312443850104696e+01,9.03213373627273775e-02,1.85586909467094188e+01,3.75428434507537645e+00
493,1,5.82701491114204870e+01,0,1.61994461999999999e+02,7.83170681982811434e+00,1.28378162660091526e+01,8.86874904940945785e-02,1.80816283804524858e+01,3.27722177881844345e+00
553,1,1.99267006293336379e+00,1,1.98249280999999996e+02,8.06000481774070288e+00,1.23805598602532445e+01,9.71430592106755364e-02,1.87504189333092768e+01,3.94601233167523446e+00
613,1,1.65146348227853395e+01,0,2.09608832000000007e+02,7.80902777613541854e+00,1.28533343451174566e+01,8.54409415356642277e-02,1.79404196457376806e+01,3.13601304410363824e+00
673,1,1.97536990615235908e+00,0,2.18355441000000013e+02,7.80680463125031565e+00,1.28827041213250748e+01,8.63429887036354093e-02,1.80618109266630711e+01,3.25740432502902877e+00
733,1,3.94901454827507905e+01,0,2.26227058000000000e+02,7.96650023888374914e+00,1.25558125217176944e+01,9.43368456604101457e-02,1.85591611055974397e+01,3.75475450396339738e+00
793,1,1.13003724870333613e+02,0,2.33606271999999990e+02,7.84796166429605346e+00,1.29302818891727895e+01,9.91217703473899758e-02,1.84674020914041179e+01,3.66299548977007561e+00
853,1,3.74691534809205393e+01,0,2.40514811000000009e+02,8.04561564816146202e+00,1.23947753836573114e+01,9.98754323888770001e-02,1.88622297853515519e+01,4.05782318371750961e+00
913,1,7.93398329658573829e+01,0,2.47701625000000007e+02,7.82723546014919691e+00,1.29280331689390291e+01,9.44724190663382979e-02,1.83094884770577941e+01,3.50508187542375182e+00
973,1,4.21366061418015647e+01,0,2.55075616999999994e+02,7.88962978211130128e+00,1.27240049946603673e+01,9.18615485860755920e-02,1.83551287087324297e+01,3.55072210709838743e+00
1033,1,2.18684658972965664e+01,1,2.77360117000000002e+02,7.99056123150433351e+00,1.25838812653947514e+01,9.80602335681073634e-02,1.86171195802250580e+01,3.81271297859101566e+00
1093,1,4.59906164381153673e+01,0,2.84461469000000022e+02,7.79460926224149109e+00,1.29224385561878883e+01,8.73137460726543246e-02,1.79610912671126499e+01,3.15668466547860760e+00
1153,1,1.51131214335648139e+01,1,3.07133011000000010e+02,8.13678688618635171e+00,1.22433835017703743e+01,1.00811856580110881e-01,1.89816134804231851e+01,4.17720687878914276e+00
1213,1,5.10689517193051827e+01,0,3.14074438999999984e+02,7.83400331080135892e+00,1.28450418692038255e+01,8.99627788183632038e-02,1.81461870028246821e+01,3.34178040119063979e+00
1273,1,2.05794332922928618e+01,1,3.45356687000000022e+02,8.07118133159768014e+00,1.23332855841875073e+01,9.71242440631812365e-02,1.86749349811130685e+01,3.87052837947902617e+00
1333,1,2.91262320723418355e+00,1,3.72661760000000015e+02,7.99877115292817642e+00,1.24837135507585870e+01,9.38553643425253936e-02,1.85702819841195108e+01,3.76587538248546849e+00
1393,1,2.20587527743702339e+01,1,3.95025191000000007e+02,8.00689720819962858e+00,1.24426125404090566e+01,9.35790693175622690e-02,1.84629070626408520e+01,3.65850046100680970e+00
