box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
33,1,1.11095352509593326e+01,1,4.86125550000000004e+01,8.18521687227753425e+00,1.19823201117166285e+01,1.29422405591859080e-01,1.94760915888427775e+01,4.67168498720873515e+00
93,1,1.83923034179906821e+01,0,5.60969539999999967e+01,8.01286122858653016e+00,1.22093401485365636e+01,1.26110237561826877e-01,1.92781982892858572e+01,4.47379168765181490e+00
153,1,3.60104524276298221e+00,1,8.06409840000000031e+01,8.24160397363405295e+00,1.19368857165779776e+01,1.30589238546627046e-01,1.95242799225141965e+01,4.71987332088015421e+00
213,1,8.86894052392523946e+00,0,9.09506209999999982e+01,7.89421421116960698e+00,1.25069474046662954e+01,1.27978453557497651e-01,1.92170982855089960e+01,4.41269168387495370e+00
273,1,4.06521218549371213e+01,1,1.33610951999999997e+02,8.22845621401610927e+00,1.20114525802886742e+01,1.34196736107739328e-01,1.95818225351316713e+01,4.77741593349762894e+00
333,1,1.17956514563084269e+01,1,1.70658235999999988e+02,8.00971002471181848e+00,1.25025147574171829e+01,1.30826598111649428e-01,1.95000497379029980e+01,4.69564313626895569e+00
393,1,1.88657675981315087e+01,1,2.10011785000000003e+02,8.01486630986597781e+00,1.24720482672352375e+01,1.32395993221409242e-01,1.94729580216076990e+01,4.66855141997365664e+00
453,1,1.33912198131908085e+01,1,2.43900769999999994e+02,8.09337677084570650e+00,1.23680322316617506e+01,1.32996055458621004e-01,1.95599392225332238e+01,4.75553262089918150e+00
513,1,2.03900291531231019e+01,1,2.66377144999999985e+02,7.81775119900409088e+00,1.28375775862047856e+01,1.35682242909733131e-01,1.91843398817022504e+01,4.37993328006820803e+00
573,1,3.37889284214802998e+01,1,2.99916149000000019e+02,8.19471623741914001e+00,1.21407113821612462e+01,1.37597501813583628e-01,1.96010536720767661e+01,4.79664707044272376e+00
633,1,3.92565380074739778e+01,1,3.44573972000000026e+02,7.84819997901295174e+00,1.29734702660922796e+01,1.36712943753212607e-01,1.94845368922025202e+01,4.68013029056847785e+00
693,1,1.82999010562160933e+01,1,3.75779129000000012e+02,7.97116438315529763e+00,1.26497544976947580e+01,1.35868302411038755e-01,1.95017860888639589e+01,4.69737948722991661e+00
753,1,4.02821509986339521e+00,1,4.03799244999999985e+02,7.91569117343346029e+00,1.26938978940901777e+01,1.39858262926655125e-01,1.93736756658557709e+01,4.56926906422172863e+00
813,1,2.50870633376792078e+01,0,4.16827988000000005e+02,7.65566235589437483e+00,1.32091006251461440e+01,1.33267601647061890e-01,1.90176102998814400e+01,4.21320369824739771e+00
873,1,1.09428780884580092e+01,0,4.30105099999999993e+02,8.02588705840627625e+00,1.23726629676931008e+01,1.36793720561253385e-01,1.95142240346992786e+01,4.70981743306523626e+00
933,1,7.75061160905062110e+01,0,4.43291819999999973e+02,7.69119333865283750e+00,1.32196149467818156e+01,1.39116296956116076e-01,1.92460197397745176e+01,4.44161313814047531e+00
993,1,1.13174847993326502e+01,1,4.67128584999999987e+02,8.03164838998850072e+00,1.24703756031872395e+01,1.41898934751478467e-01,1.94773870877601709e+01,4.67298048612612860e+00
1053,1,2.12022455849366551e+01,1,5.20653312000000028e+02,7.89241954618474750e+00,1.28381222183117067e+01,1.35600779954447609e-01,1.94645302581605435e+01,4.66012365652650118e+00
1113,1,1.75219172996284200e+01,1,5.81735784999999964e+02,7.89222043830888254e+00,1.28511070372015901e+01,1.35221438778834108e-01,1.94825367585474041e+01,4.67813015691336176e+00
1173,1,1.91342236910306518e+01,1,6.42895513000000051e+02,8.10186592680295092e+00,1.23289552035464283e+01,1.34841210216025853e-01,1.95385720503634843e+01,4.73416544872944201e+00
1233,1,1.69819474387113019e+01,1,6.84713121999999998e+02,7.81938909235474888e+00,1.28389741701475124e+01,1.36164802937241064e-01,1.92208352938589790e+01,4.41642869222493673e+00
1293,1,2.85125847007114501e+01,1,7.45863493999999946e+02,8.18463132625821999e+00,1.21800743413258097e+01,1.35419199194052875e-01,1.96277987554474080e+01,4.82339215381336572e+00
1353,1,3.57798331229594098e+01,1,8.06993726000000038e+02,7.97739700700455234e+00,1.25640204219380074e+01,1.33452236011915748e-01,1.94840072374443984e+01,4.67960063581035612e+00
