box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
1,1,2.59852287255545562e+01,2,4.17580179999999984e+02,8.11373582568474205e+00,1.20419137806961825e+01
49,1,3.85348080033295304e+00,0,4.31970912999999996e+02,7.98415795089559754e+00,1.23376812547302226e+01
97,1,2.08169227189199901e+01,1,4.90662306000000001e+02,8.12829280014599220e+00,1.21862984618816057e+01
145,1,1.32607343614126307e+01,2,8.81329475000000002e+02,8.05111762835407063e+00,1.21804913436729230e+01
193,1,2.85150138922490299e+01,1,9.15828728999999953e+02,7.90011781394544954e+00,1.25404001461961805e+01
241,1,1.25073156222653807e+01,1,9.94594024999999988e+02,8.04893977523430593e+00,1.23498310004906298e+01
289,1,2.18954228856688360e-01,2,1.20707320699999991e+03,8.01017371382178389e+00,1.22924993313092834e+01
337,1,3.07131383467507177e+01,1,1.24160726199999999e+03,7.83555844881728270e+00,1.27195732996001034e+01
385,1,4.37525903935161153e+00,1,1.32056285899999989e+03,7.98848637567150899e+00,1.25018672740437342e+01
433,1,1.72757746134499826e+01,1,1.35494809600000008e+03,7.99494833646310532e+00,1.23675551925282043e+01
481,1,4.04693559217648513e+01,1,1.38955258699999990e+03,7.79128999304190017e+00,1.28610979882943024e+01
529,1,3.15956455751816634e-01,1,1.42400020900000004e+03,7.79760337648732360e+00,1.28479666377849870e+01
577,1,3.71085590867740933e+00,0,1.43822233400000005e+03,8.00351058912731261e+00,1.24027111636341569e+01
625,1,3.75060878798286126e+01,0,1.45247700200000008e+03,7.78722822249588109e+00,1.29323763380127748e+01
673,1,2.94242710556870364e+01,1,1.48695303800000011e+03,7.79772296042922530e+00,1.28953432709061815e+01
721,1,3.56955471054199265e+01,0,1.50125613199999998e+03,8.03285702127873513e+00,1.23969492129930661e+01
769,1,8.09282294955791883e+01,0,1.51553005099999996e+03,7.82322481340912024e+00,1.29263731990425974e+01
817,1,4.62124084522951932e+01,0,1.52998421000000008e+03,7.83776921910192836e+00,1.28655431605706276e+01
865,1,2.96681118709267828e+01,0,1.54427972500000010e+03,8.03724981929611815e+00,1.24044987750085784e+01
913,1,7.68451333489050796e+01,0,1.55865363800000000e+03,7.82486576175590809e+00,1.29310518960725656e+01
961,1,5.18083940829340008e+01,0,1.57302898600000003e+03,7.83507069143767065e+00,1.28587133434099332e+01
1009,1,2.53710587268179779e+01,1,1.60822949199999994e+03,8.00136110321932748e+00,1.24385850167481351e+01
