box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
8,1,2.35274738725730082e+01,0,2.11177880000000009e+01,8.24883033785364539e+00,1.18342904287891066e+01,1.37418212749731372e-01,1.97296402410175133e+01,4.92523363938347103e+00
40,1,2.72433815643935766e+01,1,4.45148009999999985e+01,8.15869270255332957e+00,1.20123226733751860e+01,1.32690192082231068e-01,1.94061590333400993e+01,4.60175243170605697e+00
72,1,6.33030647059656530e+01,0,5.16788999999999987e+01,8.03724700842153084e+00,1.23030455088287134e+01,9.51181652118531784e-02,1.87231009517772122e+01,3.91869435014316991e+00
104,1,2.16983494073658107e+01,0,5.83757200000000012e+01,8.06035859805522392e+00,1.21118707028796262e+01,1.41536303786621381e-01,1.95919680277381190e+01,4.78756142610407665e+00
136,1,3.03504916140222747e+00,0,6.57753620000000012e+01,8.20857540883224601e+00,1.19042672987994447e+01,1.22556423007779830e-01,1.95728019266775419e+01,4.76839532504349961e+00
168,1,5.87200479067922032e+00,1,8.63759430000000066e+01,8.13941177267424720e+00,1.21749491605638838e+01,9.65448606530423803e-02,1.89525925821784220e+01,4.14818598054437970e+00
200,1,1.80467904629021163e+01,1,1.08211071000000004e+02,8.01491120774643484e+00,1.23143477243273836e+01,1.48273374240988215e-01,1.96067024831553667e+01,4.80229588152132436e+00
232,1,1.85604330667437978e-01,1,1.33416388000000012e+02,8.07678000629322668e+00,1.23305526033221433e+01,1.33331506125460769e-01,1.93352696850655903e+01,4.53086308343154798e+00
264,1,2.75914738599578726e+01,1,1.53658202999999986e+02,8.10760516263573550e+00,1.21997451617041079e+01,9.57037206753084402e-02,1.86815248968138299e+01,3.87711829517978757e+00
296,1,5.22323091416257768e+00,1,1.73590860999999990e+02,8.19823806145826772e+00,1.20383821713961279e+01,1.46570307349058210e-01,1.96780844762856013e+01,4.87367787465155899e+00
328,1,1.90228936381212996e+01,1,2.03046900999999991e+02,8.01486630986597604e+00,1.24720482672352393e+01,1.32395993221409242e-01,1.94729580216076990e+01,4.66855141997365664e+00
360,1,4.11510265984442398e+01,0,2.09516322000000002e+02,7.88766593769945423e+00,1.26897445121715720e+01,8.96755196700428914e-02,1.82335653728101903e+01,3.42915877117614798e+00
392,1,2.85446730698624940e+01,1,2.38904332000000011e+02,8.01002035779448462e+00,1.24758748860812876e+01,1.49783720089762595e-01,1.96651162535101989e+01,4.86070965187615656e+00
424,1,3.11073062923680226e+01,1,2.68392075999999975e+02,8.22545881300722215e+00,1.20730086481818795e+01,1.33286654676812277e-01,1.96330566278298662e+01,4.82865002619582384e+00
456,1,2.39672985087216972e+00,1,2.88540662999999995e+02,8.06000481774070288e+00,1.23805598602532445e+01,9.71430592106755364e-02,1.87504189333092768e+01,3.94601233167523446e+00
488,1,3.54557114314917641e+01,1,3.17761596999999995e+02,7.88537967825656239e+00,1.28345975581445870e+01,1.51475147985969311e-01,1.96993546806164872e+01,4.89494807898244488e+00
520,1,2.47503340500807418e+01,1,3.47122454000000005e+02,7.89260946202442959e+00,1.28135803205175787e+01,1.33528181432316428e-01,1.94726728401678635e+01,4.66826623853382117e+00
552,1,1.70253603772041302e+01,1,3.67218772000000001e+02,8.00748113222365099e+00,1.24712727328770132e+01,9.45591150101891820e-02,1.85040346497308832e+01,3.69962804809684087e+00
584,1,1.16664532809312860e+01,1,3.87135140999999976e+02,8.13505752677105143e+00,1.22279276278839593e+01,1.54674094715571531e-01,1.97142119098080961e+01,4.90980530817405381e+00
616,1,2.12731671903664363e+01,1,4.16329514000000017e+02,7.89241954618474750e+00,1.28381222183117067e+01,1.35600779954447609e-01,1.94645302581605399e+01,4.66012365652649763e+00
648,1,7.87313624190648937e+01,0,4.22692043000000012e+02,7.82089741141808670e+00,1.29280755357908941e+01,9.30342517302221172e-02,1.82414713210225585e+01,3.43706471938851621e+00
