box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
60,1,2.75643439070935514e+01,0,2.75403459999999995e+01,8.01500873817395387e+00,1.23295255702174469e+01,9.03094535679104804e-02,1.86705014288983087e+01,3.86609482726426634e+00
120,1,1.71126833554201596e+01,0,4.12949970000000022e+01,8.06164731921771427e+00,1.21795563993492912e+01,8.77793548716973571e-02,1.85157233830155832e+01,3.71131678138154086e+00
180,1,2.75244055376503383e+00,1,8.34084849999999989e+01,8.08933363230136493e+00,1.22635126109318779e+01,9.51101564634754815e-02,1.88080876344690822e+01,4.00368103283503984e+00
240,1,2.03422597996830916e+01,0,9.69430810000000065e+01,7.93317314938992535e+00,1.24957994695133952e+01,8.58205213823871327e-02,1.81932445881734495e+01,3.38883798653940715e+00
300,1,9.86044643488654060e+00,1,1.34007833000000005e+02,8.16028554411749596e+00,1.21698154479473661e+01,9.92024029008438391e-02,1.90051882260036962e+01,4.20078162436965385e+00
360,1,4.04508407501525369e+01,0,1.46835625999999991e+02,7.88766593769945423e+00,1.26897445121715720e+01,8.96755196700428914e-02,1.82335653728101903e+01,3.42915877117614798e+00
420,1,1.91165180102208510e+01,1,1.88767847999999987e+02,8.10531814243225490e+00,1.22283500056000065e+01,9.65104562752688577e-02,1.87043261992655623e+01,3.89991959763151996e+00
480,1,9.00208736959806544e+00,1,2.31086363000000006e+02,7.95317895094334038e+00,1.26194107497166268e+01,9.43806118994848786e-02,1.84906456058732509e+01,3.68623900423920858e+00
540,1,2.52400232241815061e+01,1,2.73148545000000013e+02,7.95826040964920622e+00,1.25882648626183844e+01,9.38680520340434144e-02,1.83975389929215964e+01,3.59313239128755413e+00
600,1,2.29755545269701358e+01,1,3.15018107999999984e+02,8.06136027668968858e+00,1.24340192932220273e+01,1.00555946492968146e-01,1.87758160583962770e+01,3.97140945676223467e+00
660,1,8.35306615086193887e+01,0,3.28523432000000014e+02,7.81941600785638347e+00,1.29232029841193654e+01,9.21001663966193318e-02,1.81855597403331792e+01,3.38115313869913692e+00
720,1,2.06316591973831969e+01,0,3.41896376999999973e+02,8.02080770537419774e+00,1.23823782915498501e+01,9.32173938161697802e-02,1.86348765927657922e+01,3.83046999113174991e+00
780,1,7.93398329658573687e+01,0,3.55233731999999975e+02,7.82723546014919691e+00,1.29280331689390309e+01,9.44724190663382979e-02,1.83094884770577870e+01,3.50508187542374472e+00
840,1,4.21366061418018063e+01,0,3.68597187000000019e+02,7.88962978211130128e+00,1.27240049946603673e+01,9.18615485860755920e-02,1.83551287087324297e+01,3.55072210709838743e+00
900,1,4.21366061418016784e+01,0,3.76211558000000025e+02,7.88962978211130128e+00,1.27240049946603673e+01,9.18615485860755920e-02,1.83551287087324191e+01,3.55072210709837677e+00
960,1,7.93398329658573687e+01,0,3.85521456999999998e+02,7.82723546014919691e+00,1.29280331689390309e+01,9.44724190663382979e-02,1.83094884770577977e+01,3.50508187542375538e+00
1020,1,2.06316591973832111e+01,0,3.98949333000000024e+02,8.02080770537419774e+00,1.23823782915498501e+01,9.32173938161697802e-02,1.86348765927657922e+01,3.83046999113174991e+00
1080,1,8.35306615086194313e+01,0,4.12274452999999994e+02,7.81941600785638347e+00,1.29232029841193654e+01,9.21001663966193318e-02,1.81855597403331792e+01,3.38115313869913692e+00
1140,1,2.29755545269708890e+01,1,4.38450474999999983e+02,8.06136027668968858e+00,1.24340192932220255e+01,1.00555946492968146e-01,1.87758160583962734e+01,3.97140945676223112e+00
1200,1,2.52400232241814990e+01,1,4.59539673999999991e+02,7.95826040964920622e+00,1.25882648626183844e+01,9.38680520340434144e-02,1.83975389929215929e+01,3.59313239128755058e+00
1260,1,9.00208736959811517e+00,1,4.80992300000000000e+02,7.95317895094334038e+00,1.26194107497166268e+01,9.43806118994848786e-02,1.84906456058732509e+01,3.68623900423920858e+00
1320,1,1.91165180102208865e+01,1,5.02998893000000010e+02,8.10531814243225490e+00,1.22283500056000065e+01,9.65104562752688577e-02,1.87043261992655516e+01,3.89991959763150930e+00
