box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
39,1,2.56072308921136980e+01,1,5.16285889999999981e+01,8.14628032311325967e+00,1.20452676887290711e+01,1.18736287784797154e-01,1.91838247099115300e+01,4.37941810827748768e+00
99,1,1.12398507328037951e+01,1,9.28779439999999994e+01,8.13210502170017158e+00,1.20897846630853341e+01,1.17494694070487168e-01,1.92537481869812623e+01,4.44934158534722002e+00
159,1,4.27310383092929129e+01,1,1.36228654000000006e+02,8.21852056654760865e+00,1.20393991924093573e+01,1.20472242853352562e-01,1.94430471964842759e+01,4.63864059485023361e+00
219,1,6.03511654167134282e+00,0,1.49489800000000002e+02,7.90210612758159137e+00,1.25220579640976712e+01,1.12669517403224673e-01,1.87119970357926420e+01,3.90759043415859963e+00
279,1,3.99007177996500317e+01,1,1.96555221999999986e+02,8.26593407023993976e+00,1.19829092205178487e+01,1.20300958069241903e-01,1.95279034878332460e+01,4.72349688619920371e+00
339,1,4.30233094680082999e+01,1,2.28857831000000004e+02,7.99245185239441369e+00,1.25493784463703815e+01,1.18721569965335449e-01,1.93029350297490012e+01,4.49852842811495890e+00
399,1,1.30601559556848947e+01,1,2.60831152999999972e+02,8.07096276054177508e+00,1.23928875778737666e+01,1.17097252068617444e-01,1.93692727735276655e+01,4.56486617189362320e+00
459,1,1.72576141963511667e+01,1,2.96998338999999987e+02,8.02132280529587760e+00,1.25065808474842530e+01,1.18533658488946120e-01,1.93066845121837041e+01,4.50227791054966175e+00
519,1,3.35203748184353998e+01,1,3.42831956999999989e+02,7.91725884969975802e+00,1.27758057734232864e+01,1.19114648967564116e-01,1.92838395290199358e+01,4.47943292738589349e+00
579,1,8.82532884284625041e+00,1,3.65360185000000001e+02,8.12155599274518103e+00,1.22327634558631644e+01,1.24666756519979091e-01,1.92656576061461280e+01,4.46125100451208567e+00
639,1,2.90247464206274657e+01,0,3.78462167000000022e+02,7.68929788846972340e+00,1.31287916944126444e+01,1.13874371959849341e-01,1.82558861753046386e+01,3.45147957367059632e+00
699,1,2.85923250505929047e+01,1,4.38984553000000005e+02,8.07430744359578689e+00,1.24477026981505219e+01,1.22745694178662573e-01,1.94198833877452266e+01,4.61547678611118428e+00
759,1,2.41434212591178898e+01,1,4.73185762000000011e+02,7.86149386246596027e+00,1.28345620397303417e+01,1.23145956334585166e-01,1.88969404311649427e+01,4.09253382953090039e+00
819,1,2.06562891784190086e+01,1,4.98592952000000025e+02,7.86312232211701456e+00,1.28363062093879403e+01,1.23852917581934646e-01,1.90149503386560106e+01,4.21054373702196827e+00
