box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
2,1,1.41028029918492877e+01,2,1.63069379999999995e+02,8.12363010766725857e+00,1.20008408111117415e+01
42,1,2.77750379421424256e+01,1,2.11927694000000002e+02,8.07377348529307781e+00,1.20920971075561177e+01
82,1,2.20778247031795516e+01,1,2.41817453000000000e+02,7.99488453865883830e+00,1.22793107179565713e+01
122,1,6.52810014584809295e+00,1,2.77670361000000014e+02,8.19646993099833487e+00,1.20215590050364760e+01
162,1,1.51562689017036831e+01,1,3.24304276000000016e+02,8.07917846005522122e+00,1.21156878844170226e+01
202,1,3.58508233598322761e+01,1,3.63996377999999993e+02,7.99467304223110009e+00,1.23668245437473026e+01
242,1,2.31831478619838975e+01,1,4.17610010999999986e+02,8.01956262932742447e+00,1.23414619862791106e+01
282,1,3.62859849266066661e+01,1,4.75572495000000004e+02,8.29978418808761020e+00,1.18716869930785958e+01
322,1,6.45229663012152344e+00,2,6.86657157999999981e+02,7.96844071427015255e+00,1.24190448348812499e+01
362,1,3.48586152913368110e+01,1,7.48176101000000017e+02,7.82447264568770784e+00,1.27621532976475063e+01
402,1,3.61481708897278367e+01,1,8.37200738000000001e+02,8.01090127886528158e+00,1.23660210629810869e+01
442,1,1.99498807122093638e+01,1,8.77050928999999996e+02,8.10971861644306280e+00,1.22199313203104936e+01
482,1,8.99801033720238053e+00,1,9.06678271999999993e+02,7.71510692290743005e+00,1.29606420235783748e+01
522,1,2.10560797742043277e+01,1,9.29002668999999969e+02,7.66116953512263965e+00,1.30414474286838669e+01
562,1,1.67564124510998056e+01,1,9.72361811999999986e+02,8.00781928984968694e+00,1.23584614624145708e+01
602,1,2.11433463027500039e+01,1,1.00284412899999995e+03,7.78526912851981567e+00,1.28156253495941872e+01
642,1,7.83338405520289882e+01,1,1.04638801300000000e+03,7.71263533043134331e+00,1.32219342859491817e+01
682,1,1.15284819520531556e+01,1,1.07115721800000006e+03,7.69079768830895549e+00,1.30612826074804929e+01
722,1,1.67780435513847657e+01,1,1.11665482500000007e+03,8.01845660449033559e+00,1.24002073517686373e+01
762,1,4.33456025774752760e+01,1,1.16118378400000006e+03,7.71279263785672953e+00,1.30814357009384850e+01
802,1,7.93382572735149552e+01,1,1.19577095299999996e+03,7.73122789483746597e+00,1.31350235651765921e+01
842,1,2.95571598910028293e+01,1,1.25895428999999990e+03,7.93067135499878795e+00,1.26043751424251340e+01
882,1,2.91114965106335504e+01,0,1.27521205400000008e+03,7.93186528743437425e+00,1.25863430949199699e+01
922,1,5.20827808071618179e+01,1,1.32701704199999995e+03,7.83254998727398011e+00,1.29521016832374549e+01
962,1,1.79511417835339842e+01,1,1.36350824899999998e+03,7.77306883829627093e+00,1.29479473313578133e+01
1002,1,3.72830023077759662e+01,0,1.37165161400000011e+03,8.06499576866136891e+00,1.23209145664921280e+01
1042,1,2.92231651100148326e+00,2,1.43510853300000008e+03,7.75690128657426037e+00,1.28765450838007265e+01
1082,1,4.91058726995252641e+01,1,1.46832954500000005e+03,7.74820420294890333e+00,1.30328225401774809e+01
1122,1,9.99571688495963073e+00,1,1.49067624999999998e+03,7.76640914361932655e+00,1.28432290232829818e+01
1162,1,2.91735683874693237e+01,2,1.59560860299999990e+03,7.97132405221220264e+00,1.23593389923547150e+01
1202,1,8.52107555610459144e-01,1,1.62012834900000007e+03,7.71928434619524850e+00,1.29840876923214132e+01
1242,1,2.18355802752900061e+01,1,1.63156760699999995e+03,7.65971089137948180e+00,1.30354541711139369e+01
1282,1,7.46868632178426139e+00,1,1.65553375099999994e+03,7.99996154277843097e+00,1.23938392746872026e+01
1322,1,7.52975830471466168e+00,1,1.67956417400000009e+03,7.98118482822831954e+00,1.24211206926010256e+01
1362,1,4.45949257002296804e+01,1,1.69815468600000008e+03,7.79890219050149813e+00,1.27455013111321538e+01
1402,1,4.58840238563843172e+00,2,1.77053358099999991e+03,7.91884358051853443e+00,1.25267240775860849e+01
1442,1,2.17220019532205555e+01,1,1.79509238099999993e+03,8.19422425615890049e+00,1.20524169841260615e+01
1482,1,1.21286255134246375e+01,1,1.82701021900000001e+03,7.94217143656229130e+00,1.24019616283100156e+01
1522,1,2.76824431477474491e+01,1,1.84971771699999999e+03,7.88184940561097580e+00,1.25497629876109773e+01
1562,1,2.15834900043739992e+01,2,1.90965609199999994e+03,8.12558006016920409e+00,1.21196669407051836e+01
1602,1,1.98674910969511131e+01,1,1.93346215600000005e+03,8.18439756140211294e+00,1.19198163330212950e+01
1642,1,1.67333123176074139e+00,1,1.94482189300000005e+03,7.95787778447211380e+00,1.23046535534075687e+01
1682,1,7.41020857388409127e+00,2,2.04640379099999996e+03,7.95526421949143625e+00,1.23123984236945674e+01
1722,1,3.05920352860697555e+01,1,2.07008974200000011e+03,8.28089160395330381e+00,1.17712118104758829e+01
1762,1,1.26832987337121210e+01,1,2.09479315700000006e+03,8.14411901825061513e+00,1.21287501485906972e+01
