box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
55,1,6.57248568837175213e+01,0,2.70154449999999997e+01,8.07169492140873857e+00,1.21241389192369375e+01,1.61681697027388410e-01,1.97335705848831573e+01,4.92916398324911498e+00
115,1,4.32892548090687299e+01,0,3.39654900000000026e+01,8.14994481283313910e+00,1.19809858221741479e+01,1.59814607375092649e-01,1.97330314200643322e+01,4.92862481843028988e+00
175,1,2.98985745000775438e+00,0,4.06678739999999976e+01,8.00274745334226800e+00,1.22593063345355695e+01,1.54701585050533996e-01,1.97333884090961256e+01,4.92898180746208325e+00
235,1,3.66428024504661352e+01,0,4.74880619999999993e+01,7.92330937983545258e+00,1.24144729932031073e+01,1.63333097489186702e-01,1.97340790568355970e+01,4.92967245520155473e+00
295,1,1.14870747592375508e+01,0,5.43545459999999991e+01,8.11493276663597207e+00,1.21139727613358481e+01,1.57055688987672248e-01,1.97331500340896646e+01,4.92874343245562230e+00
355,1,5.30938990403948097e+01,0,6.09675489999999982e+01,7.80662905129810003e+00,1.27353204956916422e+01,1.68552226810879113e-01,1.97350825339922018e+01,4.93067593235815949e+00
415,1,1.63661946038244324e+01,1,9.29439830000000029e+01,8.13061077447309799e+00,1.21636994869319857e+01,1.66920445710932369e-01,1.97334638627501278e+01,4.92905726111608544e+00
475,1,1.61597959524858936e+00,1,1.36837355000000002e+02,7.85268578878296530e+00,1.27185574834549531e+01,1.67962650792614798e-01,1.97348685450381254e+01,4.93046194340408306e+00
535,1,6.70198623780976277e-01,1,1.58708832999999998e+02,7.85355874359749606e+00,1.27107793231109785e+01,1.70104872712821958e-01,1.97348722863963602e+01,4.93046568476231784e+00
595,1,5.08717215543175172e-01,0,1.65285376000000014e+02,7.90356286790282248e+00,1.25808160161401723e+01,1.65862634715270213e-01,1.97342689678136232e+01,4.92986236617958085e+00
655,1,8.02719575301081250e+01,0,1.71751755000000003e+02,7.72336310922458313e+00,1.32195415592564807e+01,1.77867682776077063e-01,1.97365757387783702e+01,4.93216913714432792e+00
715,1,2.06949907893579201e+01,0,1.78325776999999988e+02,8.04965471648669428e+00,1.23053879876554610e+01,1.69314022514416435e-01,1.97338036733734405e+01,4.92939707173939823e+00
775,1,7.77212419994501573e+01,0,1.84795759000000004e+02,7.73339955568637549e+00,1.32307347984680206e+01,1.80138639520867089e-01,1.97366344318245837e+01,4.93222783019054134e+00
835,1,3.19518715466429342e+01,0,1.91265603999999996e+02,7.81184249729296276e+00,1.28443037960893971e+01,1.74899837567074862e-01,1.97352656013056027e+01,4.93085899967156038e+00
