box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
10,1,1.93326072838875689e+01,1,5.22708000000000013e+01,8.29734337321055726e+00,1.18424855500839090e+01,1.19192067920508155e-01,1.94234077836723742e+01,4.61900118203833188e+00
70,1,4.16161887263247507e+01,0,6.51923110000000037e+01,8.02225685840234171e+00,1.22553830493198532e+01,1.16282834780050082e-01,1.91796253416105067e+01,4.37521873997646438e+00
130,1,2.57493248253208513e+01,1,1.06850690000000000e+02,8.25207597183492858e+00,1.18706262966102809e+01,1.20182395334050354e-01,1.92820237818303362e+01,4.47761718019629384e+00
190,1,3.39723652399854714e+01,1,1.56295265999999998e+02,8.10199696953147708e+00,1.22987592372230328e+01,1.17657812253758487e-01,1.94044345059131800e+01,4.60002790427913766e+00
250,1,4.31121325901814743e+01,1,1.89664679000000007e+02,8.11138149243861406e+00,1.22547995072058047e+01,1.18762110270264259e-01,1.93711185503852938e+01,4.56671194875125153e+00
310,1,1.95756580036106520e+01,1,2.29453353999999990e+02,8.13875556158924418e+00,1.22578787821092199e+01,1.18183551164359649e-01,1.94296986520532577e+01,4.62529205041921543e+00
370,1,2.89584280955081752e+01,1,2.56535525000000007e+02,7.93408443053709167e+00,1.25796316386629119e+01,1.19468531948985809e-01,1.88587205679190859e+01,4.05431396628504359e+00
430,1,7.67971627554331349e-02,1,2.94662772000000018e+02,8.17832267605573016e+00,1.20455599401431215e+01,1.20446106310448123e-01,1.92361536706568259e+01,4.43174706902278359e+00
490,1,3.35203748184355774e+01,1,3.31535084999999981e+02,7.91725884969975802e+00,1.27758057734232864e+01,1.19114648967564116e-01,1.92838395290199323e+01,4.47943292738588994e+00
550,1,1.72576141963512484e+01,1,3.92564091000000019e+02,8.02132280529587760e+00,1.25065808474842530e+01,1.18533658488946120e-01,1.93066845121837112e+01,4.50227791054966886e+00
610,1,2.23538751201200725e+01,1,4.53105372999999986e+02,7.98556920765682943e+00,1.26436770667060099e+01,1.20896664646772817e-01,1.93454647340495214e+01,4.54105813241547907e+00
670,1,5.42954934674141043e+00,1,4.94571190999999999e+02,7.79826631229756462e+00,1.29038415727199034e+01,1.18581348450555055e-01,1.86277683508359324e+01,3.82336174920189009e+00
730,1,7.93082414191315621e+00,0,5.04906188999999983e+02,8.02338002441712383e+00,1.23946163445054491e+01,1.22128479657945779e-01,1.92934314699082989e+01,4.48902486827425662e+00
790,1,7.87222812854077461e+01,0,5.13464503000000036e+02,7.73286565872342369e+00,1.31356061416542964e+01,1.21849630997880848e-01,1.87182663504366857e+01,3.91385974880264342e+00
850,1,1.95114571724423627e+01,1,5.35866139999999973e+02,8.03933542067786000e+00,1.24603051887648668e+01,1.26173370520061306e-01,1.92162332923530386e+01,4.41182669071899625e+00
910,1,2.41434212591178650e+01,1,5.57571583000000032e+02,7.86149386246595938e+00,1.28345620397303417e+01,1.23145956334585166e-01,1.88969404311649427e+01,4.09253382953090039e+00
970,1,2.06562891784190938e+01,1,5.79097296000000028e+02,7.86312232211701367e+00,1.28363062093879385e+01,1.23852917581934646e-01,1.90149503386560035e+01,4.21054373702196116e+00
1030,1,3.30662440078421582e+01,1,6.09901782000000026e+02,8.07645314048767382e+00,1.24255793632553146e+01,1.22946556534370699e-01,1.93991939817032986e+01,4.59478738006925624e+00
