box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
12,1,2.52277789738403300e+01,1,6.40951069999999987e+01,8.26625784031915600e+00,1.19762434841589673e+01,1.02272197715925883e-01,1.60000000000000000e+01,1.19559339836595768e+00
52,1,9.15606949353860955e+00,1,8.74454889999999949e+01,7.97881963505971115e+00,1.22582981100460398e+01,1.26110237561826904e-01,1.60000000000000000e+01,1.19559339836595768e+00
92,1,1.00063104467438251e+01,1,1.33667391000000009e+02,8.01071124075995478e+00,1.21939483858817326e+01,1.43982008052356864e-01,1.60000000000000000e+01,1.19559339836595768e+00
132,1,1.84939388170931949e+01,2,3.21769275999999991e+02,8.04660724880302602e+00,1.21612693017165920e+01,8.95025882873925760e-02,1.60000000000000000e+01,1.19559339836595768e+00
172,1,5.96216873651559354e+00,1,3.59167017999999985e+02,8.05679349655228627e+00,1.21851411843738120e+01,1.29885749978233433e-01,1.60000000000000000e+01,1.19559339836595768e+00
212,1,1.77242090245921062e+01,1,4.14131648999999982e+02,7.89337261959944225e+00,1.24884453508173845e+01,1.46487178179362187e-01,1.60000000000000000e+01,1.19559339836595768e+00
252,1,9.69935969079151761e+00,2,6.01207285999999954e+02,7.89179048266106609e+00,1.25169233036902394e+01,8.41014042123120475e-02,1.60000000000000000e+01,1.19559339836595768e+00
292,1,2.32756262242509777e+01,2,7.34228484999999978e+02,8.03687095391207329e+00,1.22169258600923030e+01,1.25847492478303291e-01,1.60000000000000000e+01,1.19559339836595768e+00
332,1,1.18138171198844333e+01,1,7.80556385999999975e+02,7.93443140761241494e+00,1.25190239811367050e+01,1.44525639874283601e-01,1.60000000000000000e+01,1.19559339836595768e+00
372,1,3.39757120954236527e+01,1,8.29884629000000018e+02,7.87169991810088554e+00,1.26993002246306599e+01,8.81441744792632598e-02,1.60000000000000000e+01,1.19559339836595768e+00
412,1,1.25588069807974989e-01,2,8.98892318000000046e+02,8.04768086928737958e+00,1.22576663264008729e+01,1.28348929580687693e-01,1.60000000000000000e+01,1.19559339836595768e+00
452,1,2.33313074181802875e+01,1,9.71434185999999954e+02,8.08189755870131421e+00,1.23696524391630387e+01,1.49309690888953212e-01,1.60000000000000000e+01,1.19559339836595768e+00
492,1,3.18231920604813965e+01,1,1.03524347100000000e+03,7.79462783160073780e+00,1.28835966671308721e+01,8.50931654110315683e-02,1.60000000000000000e+01,1.19559339836595768e+00
532,1,3.17895981896180047e+00,1,1.08170616500000006e+03,7.85949008047171116e+00,1.27267149289636023e+01,1.28048150503084185e-01,1.60000000000000000e+01,1.19559339836595768e+00
572,1,2.54033719653260448e+00,1,1.14517123100000003e+03,8.01742757113910187e+00,1.22855382468536227e+01,1.45145969104677974e-01,1.60000000000000000e+01,1.19559339836595768e+00
612,1,1.60502082608797778e+01,1,1.20944035699999995e+03,7.84609229163094923e+00,1.27755602818140179e+01,8.70521891091245725e-02,1.60000000000000000e+01,1.19559339836595768e+00
652,1,1.21525785432949434e+01,1,1.25530320400000005e+03,7.64014911083240111e+00,1.32201928665323134e+01,1.31484617590811897e-01,1.60000000000000000e+01,1.19559339836595768e+00
692,1,4.17536087090253787e+01,1,1.33022980499999994e+03,7.87748964610802105e+00,1.26756535781499728e+01,1.51994045524877330e-01,1.60000000000000000e+01,1.19559339836595768e+00
732,1,2.99622252705650531e+01,1,1.39632591099999991e+03,8.03758431265799267e+00,1.24041181058845158e+01,9.98754323888770001e-02,1.60000000000000000e+01,1.19559339836595768e+00
772,1,2.14732016430835593e+01,1,1.44236753300000009e+03,7.65229101792245547e+00,1.32133614496265501e+01,1.33267601647061890e-01,1.60000000000000000e+01,1.19559339836595768e+00
812,1,3.93518300887824779e+01,1,1.47867087700000002e+03,7.64363824435235806e+00,1.32494266368386366e+01,1.55134897236844010e-01,1.60000000000000000e+01,1.19559339836595768e+00
852,1,3.15722750960110652e+01,1,1.54386649600000010e+03,7.95835755356188734e+00,1.25654314547598229e+01,9.43368456604101457e-02,1.60000000000000000e+01,1.19559339836595768e+00
892,1,8.31115223827815441e-01,1,1.62000578399999995e+03,7.91243447030335112e+00,1.26986461562175936e+01,1.39858262926655125e-01,1.60000000000000000e+01,1.19559339836595768e+00
932,1,9.10607833866260847e+01,1,1.65762724099999991e+03,7.67906180024900831e+00,1.32667101484957950e+01,1.61162275827190588e-01,1.60000000000000000e+01,1.19559339836595768e+00
972,1,4.63992367880765499e+01,1,1.72487437399999999e+03,7.83792782942276478e+00,1.28653478806131769e+01,9.26014199384914416e-02,1.60000000000000000e+01,1.19559339836595768e+00
1012,1,6.52648282486933340e+00,1,1.77424307500000009e+03,7.97744808639478986e+00,1.24173192451752676e+01,1.30146941011588857e-01,1.60000000000000000e+01,1.19559339836595768e+00
1052,1,5.35440071177279222e+01,1,1.85259914099999992e+03,7.77819607986029027e+00,1.28771251319696560e+01,1.52106203073484991e-01,1.60000000000000000e+01,1.19559339836595768e+00
1092,1,9.12829972991204102e+01,1,1.90208803400000011e+03,7.94216066679453991e+00,1.27970640989225490e+01,1.03792196077250126e-01,1.60000000000000000e+01,1.19559339836595768e+00
1132,1,7.15829798436132592e-01,2,1.98948218900000006e+03,7.84588228576648383e+00,1.26440438841638656e+01,1.27072955825326017e-01,1.60000000000000000e+01,1.19559339836595768e+00
1172,1,2.82260145919477239e+01,2,2.24233531899999980e+03,7.92207454960697177e+00,1.25386666755487113e+01,1.42172145863106891e-01,1.60000000000000000e+01,1.19559339836595768e+00
1212,1,4.06376262932322589e+01,1,2.29037499200000002e+03,7.79168354233502924e+00,1.28605085244766268e+01,8.41301021310979780e-02,1.60000000000000000e+01,1.19559339836595768e+00
1252,1,8.14890462378534508e+00,1,2.33910946299999978e+03,7.86082712300858955e+00,1.27125718014970897e+01,1.28888838831708624e-01,1.60000000000000000e+01,1.19559339836595768e+00
1292,1,3.00726092194392436e+00,2,2.49232482299999992e+03,8.00556039783101880e+00,1.23222974405943795e+01,1.42119508241737275e-01,1.60000000000000000e+01,1.19559339836595768e+00
1332,1,7.12930256520109396e+00,2,2.66075481399999990e+03,7.86049182228913068e+00,1.25955325631898649e+01,8.28572689639940352e-02,1.60000000000000000e+01,1.19559339836595768e+00
1372,1,1.84744256148966741e+01,1,2.69465616700000010e+03,7.75228887369257791e+00,1.28178689949748321e+01,1.25811853402498341e-01,1.60000000000000000e+01,1.19559339836595768e+00
1412,1,1.51327838027771833e+01,1,2.72331484000000000e+03,8.04984361725191278e+00,1.23901956003474307e+01,1.46718034985862278e-01,1.60000000000000000e+01,1.19559339836595768e+00
1452,1,1.42819064227929573e+01,2,2.83943164699999988e+03,8.05356945893733744e+00,1.21775880324360983e+01,9.02510572153624735e-02,1.60000000000000000e+01,1.19559339836595768e+00
1492,1,3.50365704130095423e+01,1,2.88811835199999996e+03,7.98838825596206625e+00,1.23526252324396832e+01,1.31161375710669492e-01,1.60000000000000000e+01,1.19559339836595768e+00
1532,1,2.90134720253081468e+00,2,3.05685945099999981e+03,7.89609148745375133e+00,1.25254087613579816e+01,1.40357781131703246e-01,1.60000000000000000e+01,1.19559339836595768e+00
1572,1,3.51271063502134950e+00,1,3.08652904900000021e+03,8.12560866927897685e+00,1.21993198642011471e+01,9.65448606530423803e-02,1.60000000000000000e+01,1.19559339836595768e+00
1612,1,3.34731620749174397e+00,1,3.11150417400000015e+03,8.16897045402878419e+00,1.20109620549965417e+01,1.29422405591859108e-01,1.60000000000000000e+01,1.19559339836595768e+00
1652,1,5.46155982349573819e+01,1,3.17653174499999977e+03,8.03724225064648756e+00,1.21809782951459855e+01,1.48311295878850086e-01,1.60000000000000000e+01,1.19559339836595768e+00
1692,1,2.13098333334162859e+01,1,3.19683208400000012e+03,8.12873449623994304e+00,1.21852298604238580e+01,9.85010890306712295e-02,1.60000000000000000e+01,1.19559339836595768e+00
1732,1,1.47279418613531732e+00,2,3.25932689900000014e+03,8.18733040538475443e+00,1.18835172559132083e+01,1.27478775398250560e-01,1.60000000000000000e+01,1.19559339836595768e+00
1772,1,3.00652836417943092e+00,2,3.37196268099999998e+03,8.00556877405048617e+00,1.23222882284307644e+01,1.42119508241737247e-01,1.60000000000000000e+01,1.19559339836595768e+00
1812,1,3.59512174772548292e+01,1,3.40594229099999984e+03,8.03317292492130086e+00,1.23965929250215332e+01,9.82038295576473930e-02,1.60000000000000000e+01,1.19559339836595768e+00
1852,1,2.91732093564392017e+01,1,3.43418365600000016e+03,8.26301254187726819e+00,1.19593026452602587e+01,1.32729644018928256e-01,1.60000000000000000e+01,1.19559339836595768e+00
1892,1,3.12276104322429404e+01,1,3.47177941899999996e+03,8.20372877744219231e+00,1.20539397020670442e+01,1.46228812243455963e-01,1.60000000000000000e+01,1.19559339836595768e+00
1932,1,1.66366387628126375e+01,1,3.51124731500000007e+03,7.92003038485905275e+00,1.26133371781107435e+01,8.98106250082021385e-02,1.60000000000000000e+01,1.19559339836595768e+00
1972,1,5.67507259747735304e+00,1,3.53606338899999992e+03,7.99650018475763158e+00,1.23846810225230932e+01,1.30422180683460009e-01,1.60000000000000000e+01,1.19559339836595768e+00
2012,1,6.25947181195155622e+00,1,3.55169436300000007e+03,8.14312388127905784e+00,1.19559562204347287e+01,1.41527369275499693e-01,1.60000000000000000e+01,1.19559339836595768e+00
2052,1,3.43158446904243988e+01,1,3.58752089200000000e+03,8.01888918068035217e+00,1.24180694211207800e+01,9.39549821848665867e-02,1.60000000000000000e+01,1.19559339836595768e+00
2092,1,7.99862292350503878e-01,1,3.64301455699999997e+03,7.91242859983861369e+00,1.26986508542206504e+01,1.39858262926655152e-01,1.60000000000000000e+01,1.19559339836595768e+00
2132,1,1.08396001816283558e+01,1,3.67898040899999978e+03,7.99390507920870252e+00,1.23646973558727638e+01,1.46436657636588197e-01,1.60000000000000000e+01,1.19559339836595768e+00
2172,1,2.12843619521414595e+01,1,3.71032064399999990e+03,8.12871749410116706e+00,1.21852446431371693e+01,9.85010890306712295e-02,1.60000000000000000e+01,1.19559339836595768e+00
2212,1,1.85405480968071856e-01,1,3.76595669799999996e+03,7.68778916851405469e+00,1.31205838313488208e+01,1.23426517695907179e-01,1.60000000000000000e+01,1.19559339836595768e+00
2252,1,5.35436451411066017e+01,1,3.84260897699999987e+03,7.77820110895317640e+00,1.28771299905541099e+01,1.52106203073484991e-01,1.60000000000000000e+01,1.19559339836595768e+00
2292,1,9.65478800866505082e+00,2,3.98533349499999986e+03,7.89174324078342693e+00,1.25169728701509015e+01,8.41014042123120475e-02,1.60000000000000000e+01,1.19559339836595768e+00
2332,1,2.91018224313864238e+01,2,4.17219532400000026e+03,7.76691809001869071e+00,1.28601964698215667e+01,1.20959669139095657e-01,1.60000000000000000e+01,1.19559339836595768e+00
2372,1,3.81838289578667300e+01,1,4.20893307399999958e+03,7.64440786951823092e+00,1.32526961257127773e+01,1.55247202534537415e-01,1.60000000000000000e+01,1.19559339836595768e+00
2412,1,4.06219481108266365e+01,1,4.25456638300000031e+03,7.79166553137713258e+00,1.28605275609638117e+01,8.41301021310979780e-02,1.60000000000000000e+01,1.19559339836595768e+00
2452,1,3.06974834610084812e+01,1,4.30144886399999996e+03,8.00730087398774870e+00,1.22357484111203885e+01,1.30353992101203270e-01,1.60000000000000000e+01,1.19559339836595768e+00
2492,1,3.23441285153332387e+01,1,4.35598356200000035e+03,7.66229919847911756e+00,1.30794930651934624e+01,1.47876806098109381e-01,1.60000000000000000e+01,1.19559339836595768e+00
2532,1,1.14133322603548820e+02,1,4.40253392199999962e+03,7.84600172564609277e+00,1.29301236363310768e+01,9.86081143039227448e-02,1.60000000000000000e+01,1.19559339836595768e+00
2572,1,2.85857472096053300e+01,1,4.45758050100000037e+03,7.87539081163901589e+00,1.25321958779383174e+01,1.27978453557497651e-01,1.60000000000000000e+01,1.19559339836595768e+00
2612,1,1.87301141031467253e+01,1,4.52357967499999995e+03,7.89017489076832934e+00,1.24860755104837633e+01,1.46416626435279251e-01,1.60000000000000000e+01,1.19559339836595768e+00
2652,1,7.98866366812916624e+01,1,4.58064583599999969e+03,7.81606741154813189e+00,1.29276624516340828e+01,9.21001663966193318e-02,1.60000000000000000e+01,1.19559339836595768e+00
2692,1,1.50009489214454064e+01,1,4.64516567500000019e+03,7.66750686332927245e+00,1.30726096001291783e+01,1.26745016474802130e-01,1.60000000000000000e+01,1.19559339836595768e+00
2732,1,5.36448283624087381e+01,1,4.70170105200000035e+03,8.04061717001930099e+00,1.21825220516213637e+01,1.48357813057279825e-01,1.60000000000000000e+01,1.19559339836595768e+00
2772,1,3.10143234869950462e+01,1,4.75685079700000006e+03,7.83629534313881759e+00,1.27184955647567683e+01,8.38203422388659192e-02,1.60000000000000000e+01,1.19559339836595768e+00
2812,1,2.14628676421681099e+01,1,4.80364883300000020e+03,7.65229250416517637e+00,1.32133590319698317e+01,1.33267601647061917e-01,1.60000000000000000e+01,1.19559339836595768e+00
2852,1,4.25865189494382150e+01,2,5.01411206200000015e+03,7.80221016458274175e+00,1.28380324483816022e+01,1.39783816890925089e-01,1.60000000000000000e+01,1.19559339836595768e+00
2892,1,2.96264416334392422e+00,1,5.02637293800000043e+03,7.97744146716291791e+00,1.23181558563936608e+01,8.76535873937447640e-02,1.60000000000000000e+01,1.19559339836595768e+00
2932,1,1.64725291016827668e+00,2,5.10169315600000027e+03,7.68789499633492657e+00,1.31440185758691772e+01,1.23179091595272336e-01,1.60000000000000000e+01,1.19559339836595768e+00
