box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
28,1,9.45707528691778165e+00,2,1.08233502000000001e+02,8.17739744028119908e+00,1.19790442044746666e+01,1.32378543426057899e-01,1.60000000000000000e+01,1.19559339836595768e+00
68,1,5.36316796440098074e+01,1,1.51753381999999988e+02,8.04060650845633695e+00,1.21825332784086804e+01,1.48357813057279825e-01,1.60000000000000000e+01,1.19559339836595768e+00
108,1,3.00337661940305622e+00,1,1.69533295000000010e+02,7.97749329627887604e+00,1.23181020264091607e+01,8.76535873937447640e-02,1.60000000000000000e+01,1.19559339836595768e+00
148,1,5.96056368250879842e+00,2,3.23260183999999981e+02,8.09496157420199935e+00,1.20607219926493645e+01,1.26019564623162328e-01,1.60000000000000000e+01,1.19559339836595768e+00
188,1,2.71166694330537013e+01,1,3.69804233000000011e+02,8.02020780703118952e+00,1.22789436407729458e+01,1.44760633334316463e-01,1.60000000000000000e+01,1.19559339836595768e+00
228,1,3.48356431450609278e+01,1,4.25600090000000023e+02,7.93613160379356231e+00,1.25179407158895977e+01,8.99102977266187098e-02,1.60000000000000000e+01,1.19559339836595768e+00
268,1,9.57507004695740704e+00,1,4.72209572999999978e+02,8.13256303768972977e+00,1.20958030450345468e+01,1.28305789105949891e-01,1.60000000000000000e+01,1.19559339836595768e+00
308,1,2.15123037065150697e+01,1,5.26066762000000040e+02,8.13189339182699378e+00,1.22282703598808595e+01,1.46935733237411381e-01,1.60000000000000000e+01,1.19559339836595768e+00
348,1,2.20870729403489534e+01,1,5.80582344000000035e+02,7.84104738770975107e+00,1.27442737533585770e+01,8.47722779443687291e-02,1.60000000000000000e+01,1.19559339836595768e+00
388,1,4.76505952001375022e-01,2,7.15836957999999981e+02,7.92620027887568668e+00,1.25303597220824514e+01,1.26923934224801832e-01,1.60000000000000000e+01,1.19559339836595768e+00
428,1,9.78057598226968139e-01,2,8.35673796000000038e+02,8.06461759760705377e+00,1.21605151028268601e+01,1.43030329302760301e-01,1.60000000000000000e+01,1.19559339836595768e+00
468,1,5.97107198155434560e-01,1,8.80689267999999970e+02,7.99074943393884407e+00,1.25269264992173071e+01,9.48069997172372170e-02,1.60000000000000000e+01,1.19559339836595768e+00
508,1,1.20854009884285318e+01,1,9.44365737999999965e+02,7.66846664727444605e+00,1.30772699953348486e+01,1.27301622485902738e-01,1.60000000000000000e+01,1.19559339836595768e+00
548,1,1.59517196440964888e+01,1,1.00741473199999996e+03,7.98631341445695675e+00,1.25493627264944010e+01,1.50912682515523339e-01,1.60000000000000000e+01,1.19559339836595768e+00
588,1,3.02130376724956200e+01,1,1.07569359200000008e+03,8.00190383319950627e+00,1.24379379402108405e+01,9.39612814831822796e-02,1.60000000000000000e+01,1.19559339836595768e+00
628,1,4.23790252310021458e+01,1,1.11491528300000004e+03,7.63446890682674528e+00,1.32292149771017051e+01,1.25532091685502362e-01,1.60000000000000000e+01,1.19559339836595768e+00
668,1,5.22014138568654573e+00,1,1.16888710999999989e+03,7.58463076380150802e+00,1.32499169817467255e+01,1.47033187169278323e-01,1.60000000000000000e+01,1.19559339836595768e+00
708,1,2.70616856817263525e+01,1,1.20900172799999996e+03,7.92103308308775222e+00,1.25780846810090630e+01,8.90064620186816757e-02,1.60000000000000000e+01,1.19559339836595768e+00
748,1,4.01401011433549471e+00,1,1.24729835699999990e+03,7.91050050718667297e+00,1.26974325392812393e+01,1.39396228162516067e-01,1.60000000000000000e+01,1.19559339836595768e+00
788,1,9.04551827669881874e+01,1,1.26556607099999997e+03,7.67900580215791351e+00,1.32683288475107251e+01,1.61274108276476591e-01,1.60000000000000000e+01,1.19559339836595768e+00
828,1,5.19773264030875879e+01,1,1.29865435600000001e+03,7.83520782637868862e+00,1.28585417944700193e+01,9.14261754988976161e-02,1.60000000000000000e+01,1.19559339836595768e+00
868,1,2.31844154246957501e+01,1,1.33172590900000000e+03,8.14137335023725939e+00,1.22618732232846348e+01,1.44980412023235194e-01,1.60000000000000000e+01,1.19559339836595768e+00
