box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
23,1,6.52810014584812848e+00,1,4.90187999999999988e+01,8.19646993099833487e+00,1.20215590050364760e+01,1.06882992162939588e-01,1.60000000000000000e+01,1.19559339836595768e+00
63,1,2.20778247031794450e+01,1,7.01220280000000002e+01,7.99488453865883830e+00,1.22793107179565713e+01,1.15147225010317530e-01,1.60000000000000000e+01,1.19559339836595768e+00
103,1,2.77750379421423546e+01,1,1.22550019000000006e+02,8.07377348529307781e+00,1.20920971075561177e+01,1.61162735332651408e-01,1.60000000000000000e+01,1.19559339836595768e+00
143,1,1.41028029918494724e+01,2,2.93922663000000000e+02,8.12363010766725857e+00,1.20008408111117415e+01,1.01994251383614676e-01,1.60000000000000000e+01,1.19559339836595768e+00
183,1,1.43552091470428564e+01,2,4.97769870000000026e+02,8.00107769787699397e+00,1.22950042952749516e+01,1.15341644267641569e-01,1.60000000000000000e+01,1.19559339836595768e+00
223,1,6.22186182074548242e+01,0,5.12671283000000017e+02,7.92948287232121984e+00,1.24298934785629598e+01,1.68050777133805368e-01,1.60000000000000000e+01,1.19559339836595768e+00
263,1,1.95014563081545305e+01,2,6.84016906999999946e+02,8.05930243915411815e+00,1.21985237145242991e+01,1.04397519489203672e-01,1.60000000000000000e+01,1.19559339836595768e+00
303,1,5.80878235921487374e+00,1,7.08284303000000023e+02,8.05115276591306461e+00,1.22397070197460760e+01,1.16699976242324574e-01,1.60000000000000000e+01,1.19559339836595768e+00
343,1,2.79666672245186163e+01,1,7.39833574999999996e+02,7.76404632048313292e+00,1.27631420847998722e+01,1.62108406856702414e-01,1.60000000000000000e+01,1.19559339836595768e+00
383,1,3.28541965549788983e-01,2,8.18623024999999984e+02,7.77248107155409507e+00,1.27887429032465434e+01,9.26425468772107685e-02,1.60000000000000000e+01,1.19559339836595768e+00
423,1,1.26889365146230091e+01,1,8.65236368999999968e+02,8.14411361539139378e+00,1.21287462817735197e+01,1.18249316659453277e-01,1.60000000000000000e+01,1.19559339836595768e+00
463,1,1.98575094600268187e+00,1,9.30434985999999981e+02,7.78364663865203177e+00,1.27426642413584030e+01,1.59676082013861492e-01,1.60000000000000000e+01,1.19559339836595768e+00
503,1,4.21551925485940160e+00,1,9.86194714999999974e+02,7.76239130593391824e+00,1.29432633262633257e+01,9.86967254143363837e-02,1.60000000000000000e+01,1.19559339836595768e+00
543,1,2.10944385839773929e+00,1,1.03276376099999993e+03,7.91491835109386255e+00,1.25621746499327944e+01,1.13871194853517460e-01,1.60000000000000000e+01,1.19559339836595768e+00
583,1,1.30607760396243862e+01,1,1.06900720600000000e+03,8.03655880752770102e+00,1.23259760069550541e+01,1.67004010674557862e-01,1.60000000000000000e+01,1.19559339836595768e+00
623,1,3.07199923345914669e+01,1,1.12723789800000009e+03,7.72410421523181778e+00,1.29959817492633807e+01,9.49073843041801368e-02,1.60000000000000000e+01,1.19559339836595768e+00
663,1,4.57954434852254764e+01,1,1.19525103399999989e+03,7.64366910702739677e+00,1.31678019212361122e+01,1.09056180509073175e-01,1.60000000000000000e+01,1.19559339836595768e+00
703,1,1.80855635403042747e+01,1,1.23948711299999991e+03,7.89905633635180493e+00,1.25784342752125156e+01,1.68030186099243500e-01,1.60000000000000000e+01,1.19559339836595768e+00
