box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
29,1,2.20235659832178499e+00,2,2.29059462999999994e+02,8.06323100418218175e+00,1.20797110057626007e+01
77,1,5.31640201007097417e+01,0,2.43424524999999988e+02,8.04013488033694834e+00,1.21830511149021561e+01
125,1,3.28872388153922657e+00,1,2.78181883000000028e+02,8.13192462653847059e+00,1.19978705129131953e+01
173,1,2.33563080463291328e+01,1,3.57887177000000008e+02,8.08603057775094314e+00,1.21571229798738116e+01
221,1,1.71985462276816321e+01,0,3.72052398999999980e+02,7.89294559458756684e+00,1.24890303980965189e+01
269,1,2.54448733795357072e+01,1,4.51770041999999989e+02,8.16328750554659699e+00,1.20549196466308128e+01
317,1,1.00534308218979760e+01,1,5.31290786000000026e+02,7.97869026083293864e+00,1.23660931325576406e+01
365,1,3.10100796802868786e+01,1,5.65764308000000028e+02,7.76465901449024987e+00,1.27985570379715980e+01
413,1,1.48376056118731867e+01,1,6.45953151000000048e+02,8.07319302292809482e+00,1.22290796175843894e+01
461,1,1.59738148718807551e+01,1,7.26323084999999992e+02,7.90146989009639178e+00,1.25502683662194627e+01
509,1,2.94842273100876611e+01,1,7.60886669999999981e+02,7.66216004495281933e+00,1.30797291012850110e+01
557,1,1.87138600270485682e+01,1,8.40935392999999976e+02,8.01435023527481327e+00,1.23702139139330356e+01
605,1,4.26463530379318456e+00,1,8.77571617999999944e+02,7.72247003649173447e+00,1.28935515288896383e+01
653,1,3.43257097324175646e+01,0,8.91912407000000030e+02,7.63015518586235952e+00,1.32505296812374613e+01
701,1,5.64912237741768308e+00,1,9.28626330000000053e+02,7.85732141137431839e+00,1.26446424028822157e+01
749,1,1.51154994404574552e+01,1,9.63075553000000014e+02,7.77543579674572616e+00,1.28816189818597930e+01
797,1,9.03185710193249491e+01,0,9.77298507999999970e+02,7.67884967973521260e+00,1.32685099018078567e+01
845,1,1.96174798617731660e+01,1,1.01145936099999994e+03,7.90522532577068127e+00,1.26200909760615616e+01
893,1,1.40023791530075741e+01,1,1.04562859200000003e+03,7.77634687576076100e+00,1.28872479773074655e+01
941,1,9.09781928909723092e+01,0,1.05974082599999997e+03,7.67898469258577610e+00,1.32668010562165950e+01
989,1,1.31299047678719916e-01,0,1.07383732800000007e+03,7.90393771468531181e+00,1.26152055998652735e+01
1037,1,2.24894321748081438e-02,1,1.11009428699999989e+03,7.72283886655673601e+00,1.29121717426229843e+01
1085,1,3.58850139314145835e+01,0,1.12423085199999991e+03,7.62900259993372565e+00,1.32474496536379149e+01
1133,1,1.06013877874891023e+01,1,1.16085181400000010e+03,7.86279330964459433e+00,1.26208875639740175e+01
1181,1,1.16404960750965074e+01,1,1.24006608600000004e+03,7.89759474715952425e+00,1.25653239019331888e+01
1229,1,3.12449537692801869e+01,1,1.27431072199999994e+03,7.65957450512428473e+00,1.30764867853245459e+01
1277,1,2.38953727858666838e+01,2,1.66373754699999995e+03,7.87094488373500401e+00,1.25397340635195231e+01
1325,1,5.26597908239637036e+00,1,1.74340411399999994e+03,7.96938660584726488e+00,1.23911427152636211e+01
1373,1,3.30811213487846771e+01,1,1.77780138000000011e+03,7.76132923299766020e+00,1.27958407961833309e+01
