box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
30,1,1.75161882931190078e+01,1,5.40707049999999967e+01,8.12070621274009063e+00,1.20114377283774374e+01,1.59814607375092677e-01,1.60000000000000000e+01,1.19559339836595768e+00
70,1,1.97464210532182776e+01,1,9.11500800000000027e+01,8.00199699203579584e+00,1.22812579959554107e+01,1.16282834780050082e-01,1.60000000000000000e+01,1.19559339836595768e+00
110,1,4.20675590816150446e+00,1,1.37065712999999988e+02,8.14499040651317863e+00,1.21012203904321307e+01,1.06005941582445445e-01,1.60000000000000000e+01,1.19559339836595768e+00
150,1,3.73348213830951394e+01,1,1.81185450000000003e+02,8.30954492309456683e+00,1.18515222251751204e+01,1.66775604247998033e-01,1.60000000000000000e+01,1.19559339836595768e+00
190,1,8.20480539434439038e+00,1,2.26215084999999988e+02,7.99922492672550867e+00,1.23276314309419259e+01,1.14318521919624161e-01,1.60000000000000000e+01,1.19559339836595768e+00
230,1,1.12782081025013809e+01,1,2.63150590000000022e+02,8.01833070567967710e+00,1.23744844246085499e+01,1.06051062131767126e-01,1.60000000000000000e+01,1.19559339836595768e+00
270,1,2.52834224374752772e+01,1,3.19492165000000000e+02,8.20407443992494301e+00,1.20151483960950767e+01,1.61017128822694700e-01,1.60000000000000000e+01,1.19559339836595768e+00
310,1,3.02882937562442578e+00,2,4.56806231000000025e+02,8.04125090760977912e+00,1.22825110550674879e+01,1.14857797704334241e-01,1.60000000000000000e+01,1.19559339836595768e+00
350,1,4.00449734789303804e+01,1,5.12415391999999997e+02,7.81915388254600607e+00,1.27563417810628970e+01,9.71568777878266954e-02,1.60000000000000000e+01,1.19559339836595768e+00
390,1,1.44947490871587092e-01,1,5.87852501999999959e+02,7.93808072348162508e+00,1.25032780576578553e+01,1.64863697839159357e-01,1.60000000000000000e+01,1.19559339836595768e+00
430,1,2.18273596251870856e+01,1,6.34680302999999981e+02,8.15690401068606974e+00,1.20802177867527369e+01,1.20446106310448123e-01,1.60000000000000000e+01,1.19559339836595768e+00
470,1,4.17781540524842683e+01,2,8.40957416999999964e+02,7.73657280608275322e+00,1.29029187651835340e+01,9.11482572069512997e-02,1.60000000000000000e+01,1.19559339836595768e+00
510,1,4.78869421886354445e+01,1,8.77723833000000013e+02,7.69677050260546025e+00,1.30346461139501315e+01,1.71726658891989153e-01,1.60000000000000000e+01,1.19559339836595768e+00
550,1,1.10572060258786848e+01,1,9.24181955000000016e+02,7.90866634064944130e+00,1.25371197717406684e+01,1.14585619338124070e-01,1.60000000000000000e+01,1.19559339836595768e+00
590,1,5.69049486758640199e+00,1,9.49068796000000020e+02,7.88235100100304464e+00,1.26138670732078957e+01,9.85055792613422354e-02,1.60000000000000000e+01,1.19559339836595768e+00
630,1,2.28444445139270726e+01,1,9.85621120000000019e+02,7.62561741759397638e+00,1.32093148700279936e+01,1.72104030958495829e-01,1.60000000000000000e+01,1.19559339836595768e+00
