box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
4,1,2.11013812914194077e+01,0,2.63968150000000001e+01,8.24105755812964347e+00,1.18244833195559078e+01,1.27478775398250560e-01,1.94999123264537211e+01,4.69550572481967876e+00
64,1,5.26416791169183043e+01,0,3.90191739999999996e+01,8.02919333969253834e+00,1.22100908887260324e+01,1.30353992101203242e-01,1.94290711341987681e+01,4.62466453256472576e+00
124,1,1.51094605148729251e+01,1,7.89485169999999954e+01,8.24867945147842541e+00,1.18916851892167568e+01,1.29748091052549114e-01,1.95234639561776930e+01,4.71905735454365072e+00
184,1,3.94978925091672295e+01,1,1.14456615999999997e+02,8.11094427043346933e+00,1.22408614517752721e+01,1.32898152897274802e-01,1.95313807890059294e+01,4.72697418737188713e+00
244,1,3.25625306044858860e+01,1,1.57871902000000006e+02,8.10182279016439466e+00,1.22785963732550929e+01,1.31073667109678410e-01,1.95708752090422848e+01,4.76646860740824252e+00
304,1,2.51601880824304338e+01,1,1.99890789000000012e+02,8.15613499039956480e+00,1.21835914470196460e+01,1.34015003123266002e-01,1.95484691167612965e+01,4.74406251512725419e+00
364,1,1.88944515386325307e+01,1,2.32662431999999995e+02,7.91438344782845871e+00,1.25964448852382560e+01,1.35286476651502757e-01,1.92911510628047793e+01,4.48674446117073700e+00
424,1,3.10487429935601114e+01,1,2.68119363000000021e+02,8.22545881300722215e+00,1.20730086481818795e+01,1.33286654676812277e-01,1.96330566278298662e+01,4.82865002619582384e+00
484,1,2.91448236959605964e+01,1,2.99579431000000000e+02,7.89277781946062440e+00,1.28005435274439154e+01,1.33888650564495559e-01,1.94517509872062000e+01,4.64734438557215768e+00
544,1,2.95608760316250496e+00,1,3.51891045000000020e+02,8.00558851869077870e+00,1.25499112574542959e+01,1.31766158029132135e-01,1.95051891063327751e+01,4.70078250469873282e+00
604,1,1.82999010562159832e+01,1,3.87572946000000002e+02,7.97116438315529763e+00,1.26497544976947580e+01,1.35868302411038755e-01,1.95017860888639554e+01,4.69737948722991305e+00
664,1,3.92565380074746457e+01,1,4.18703312999999980e+02,7.84819997901294997e+00,1.29734702660922814e+01,1.36712943753212635e-01,1.94845368922025166e+01,4.68013029056847429e+00
724,1,1.09428780884579382e+01,0,4.25389469000000020e+02,8.02588705840627625e+00,1.23726629676931008e+01,1.36793720561253412e-01,1.95142240346992786e+01,4.70981743306523626e+00
784,1,7.75061160905062252e+01,0,4.32240406000000007e+02,7.69119333865283750e+00,1.32196149467818156e+01,1.39116296956116076e-01,1.92460197397745176e+01,4.44161313814047531e+00
844,1,1.13174847993326360e+01,1,4.54137003999999990e+02,8.03164838998850072e+00,1.24703756031872395e+01,1.41898934751478467e-01,1.94773870877601745e+01,4.67298048612613215e+00
904,1,1.20159064481087938e+01,1,4.78275296000000026e+02,7.82837577517379746e+00,1.28880537866593912e+01,1.39638664544229518e-01,1.92984783209901352e+01,4.49407171935609284e+00
964,1,1.44572062447399894e+01,1,5.02621490999999992e+02,7.82702590936978648e+00,1.28866320937556758e+01,1.39215463106874687e-01,1.92754971210353077e+01,4.47109051940126534e+00
1024,1,2.33456274307088307e+01,1,5.41581926999999951e+02,8.06846385491709484e+00,1.24500158267928640e+01,1.36813968956707138e-01,1.95758844238027265e+01,4.77147782216868421e+00
1084,1,2.07991162021431961e+01,0,5.48441674000000035e+02,7.64307225245990729e+00,1.32094656573016049e+01,1.31042331486958569e-01,1.86520528037068871e+01,3.84764620207284480e+00
1144,1,5.88347033109035067e+00,1,5.70029125000000022e+02,8.12580580165831101e+00,1.22218367926846021e+01,1.39121354781518713e-01,1.94781978458875500e+01,4.67379124425350767e+00
1204,1,2.46446985662455411e+01,1,6.01048539000000005e+02,7.89260946202442959e+00,1.28135803205175787e+01,1.33528181432316428e-01,1.94726728401678635e+01,4.66826623853382117e+00
1264,1,8.73698732827662283e+00,1,6.32050128999999970e+02,8.00930939393160735e+00,1.25212115818911709e+01,1.33130048635741127e-01,1.94805514923777920e+01,4.67614489074374973e+00
1324,1,9.44563111448415071e+00,1,6.63290210000000002e+02,8.06827463145284796e+00,1.23837147323575874e+01,1.30570557794471076e-01,1.95263700033168526e+01,4.72196340168281026e+00
1384,1,3.57798331229593174e+01,1,6.93938510999999949e+02,7.97739700700455234e+00,1.25640204219380092e+01,1.33452236011915748e-01,1.94840072374443984e+01,4.67960063581035612e+00
1444,1,3.60104524276308524e+00,1,7.14843194000000040e+02,8.24160397363405295e+00,1.19368857165779776e+01,1.30589238546627046e-01,1.95242799225142001e+01,4.71987332088015776e+00
1504,1,8.86894052392518972e+00,0,7.21492948999999953e+02,7.89421421116960609e+00,1.25069474046662954e+01,1.27978453557497651e-01,1.92170982855090067e+01,4.41269168387496435e+00
1564,1,4.06521218549370786e+01,1,7.52034623000000011e+02,8.22845621401610927e+00,1.20114525802886742e+01,1.34196736107739328e-01,1.95818225351316748e+01,4.77741593349763249e+00
1624,1,1.67497715994145366e+01,1,7.73324769999999944e+02,8.14476304207272506e+00,1.20498779846581936e+01,1.30752205590774717e-01,1.94583252524986499e+01,4.65391865086460754e+00
1684,1,2.67602010354944184e+01,1,7.94664690999999948e+02,8.15869270255332957e+00,1.20123226733751860e+01,1.32690192082231068e-01,1.94061590333400993e+01,4.60175243170605697e+00
1744,1,1.62185551175241436e+01,1,8.15662519999999972e+02,8.26627252596232331e+00,1.18758660907252889e+01,1.34346638136323887e-01,1.94808449996399276e+01,4.67643839800588523e+00
1804,1,7.71677675155067533e+00,0,8.22740995999999996e+02,8.02659364923544594e+00,1.23801290064762046e+01,1.37334048209873466e-01,1.95524746819494979e+01,4.74806808031545557e+00
1864,1,2.39120831761766794e+00,0,8.30206910999999991e+02,8.20857681085630198e+00,1.19042658332590765e+01,1.22556423007779830e-01,1.95728019266775419e+01,4.76839532504349961e+00
1924,1,2.66337019446195278e+01,1,8.70845288999999980e+02,8.07006851154783789e+00,1.24326109168913685e+01,1.37612898619119267e-01,1.95596399056089858e+01,4.75523330397494348e+00
1984,1,1.78045352162765980e+01,1,9.01106606000000056e+02,8.14230176753887491e+00,1.22348403794051528e+01,1.31315060360400276e-01,1.95840013810428388e+01,4.77959477940879651e+00
2044,1,1.67222704132690687e+01,1,9.37121238999999946e+02,8.07874199277725147e+00,1.23378232307559887e+01,1.32593957247485905e-01,1.94996365419785569e+01,4.69522994034451457e+00
2104,1,1.46663007704852646e+01,1,9.67530155000000036e+02,7.97031182337631883e+00,1.26658748759628192e+01,1.35328443000228532e-01,1.95198634666437272e+01,4.71545686500968486e+00
2164,1,2.67552446366951422e+01,1,9.88606423999999947e+02,8.15869169293082841e+00,1.20123218308693556e+01,1.32690192082231095e-01,1.94061590333400993e+01,4.60175243170605697e+00
2224,1,1.44515605550867754e+01,1,1.01160983699999997e+03,7.82702819687783613e+00,1.28866403160325316e+01,1.39215463106874687e-01,1.92754971210353148e+01,4.47109051940127245e+00
2284,1,3.25597702631835375e+01,1,1.04660683999999992e+03,8.10182222284886322e+00,1.22785969824444869e+01,1.31073667109678382e-01,1.95708752090422848e+01,4.76646860740824252e+00
2344,1,2.91363727031376705e+01,1,1.07818648200000007e+03,7.89277898920447729e+00,1.28005422172320902e+01,1.33888650564495559e-01,1.94517509872062000e+01,4.64734438557215768e+00
2404,1,2.46481479415903912e+01,1,1.10871664499999997e+03,7.89261098320656274e+00,1.28135786564674650e+01,1.33528181432316428e-01,1.94726728401678635e+01,4.66826623853382117e+00
2464,1,1.49843606728331835e+01,0,1.11533142199999998e+03,7.89274682645050163e+00,1.24993754268307615e+01,1.27334559283964754e-01,1.91534532014831917e+01,4.34904659984914943e+00
2524,1,7.59159728572523420e+01,0,1.12200763499999994e+03,7.69110227388794332e+00,1.32219880216172250e+01,1.39390088983376653e-01,1.92638929195041264e+01,4.45948631787008409e+00
2584,1,4.76378336443004713e+01,0,1.12885510900000008e+03,8.03138635846405968e+00,1.22155102068530947e+01,1.30992377031208584e-01,1.94783870376473871e+01,4.67398043601334479e+00
2644,1,1.69868909676504742e+01,0,1.13544472199999996e+03,7.64419949600335435e+00,1.32145010477738349e+01,1.31484617590811897e-01,1.89419893360904794e+01,4.13758273445643709e+00
2704,1,2.30109391890635848e+01,1,1.15636918500000002e+03,7.91308067638568513e+00,1.25952716361458776e+01,1.34747107588915810e-01,1.92486956198383439e+01,4.44428901820430156e+00
2764,1,3.07793222727272351e+01,1,1.18746697599999993e+03,7.97617405281937764e+00,1.25798602902035093e+01,1.32906091908895269e-01,1.95079020914153105e+01,4.70349548978126819e+00
2824,1,4.25821082241326536e+01,1,1.21771836299999995e+03,7.84772425642678062e+00,1.29658665564151434e+01,1.36717770927225146e-01,1.94698060555712722e+01,4.66539945393722988e+00
