box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
26,1,1.48224125339199944e+01,1,5.96642879999999991e+01,8.15154996672145415e+00,1.20587792756711334e+01
66,1,8.49305242868664152e+01,1,9.49139569999999964e+01,8.07713888232481381e+00,1.21272792637009612e+01
106,1,1.20783860499406899e+01,2,3.07011006000000009e+02,7.95864414468922998e+00,1.22863919426803623e+01
146,1,1.07121148304238503e+01,2,5.01908910999999989e+02,8.04911257011710113e+00,1.21556611561180539e+01
186,1,1.39586078778309144e+01,1,5.77565615999999977e+02,7.94239451220945369e+00,1.23858171017224645e+01
226,1,3.04005098987285720e+01,1,6.11659204000000045e+02,7.87516506994292698e+00,1.25464792040146911e+01
266,1,1.24249976176863584e+01,1,6.46504068999999959e+02,8.11525635103681253e+00,1.21709404671790171e+01
306,1,1.00612738523666820e+01,1,7.20679142999999954e+02,8.12047527236149591e+00,1.21809407547313242e+01
346,1,2.99916643821713649e+01,1,7.72427097000000003e+02,7.89402002118256174e+00,1.25884971525476299e+01
386,1,2.08415192540687855e+01,1,8.30877972000000000e+02,7.94117719559303215e+00,1.25163022306251541e+01
426,1,1.95772480611944246e+01,1,9.11078575999999998e+02,8.09904745652405822e+00,1.21319754069740338e+01
466,1,2.10944385839721349e+00,1,9.52860840000000053e+02,7.91491835109386255e+00,1.25621746499327944e+01
506,1,4.21551925485942292e+00,1,1.01672179700000004e+03,7.76239130593391824e+00,1.29432633262633257e+01
546,1,1.98575094600261082e+00,1,1.08999605199999996e+03,7.78364663865203177e+00,1.27426642413584030e+01
586,1,5.53139066839590043e+00,1,1.12925342099999989e+03,7.97130577206113156e+00,1.24403899691141238e+01
626,1,3.01211788396245979e+01,1,1.16430661200000009e+03,7.71066354091671879e+00,1.30434969187755154e+01
666,1,2.23027455151232274e+01,1,1.20016183500000011e+03,7.62618960157643766e+00,1.32138279841986535e+01
706,1,1.17940803870908439e+00,1,1.21906860000000006e+03,7.85349950621619985e+00,1.26407425585425308e+01
746,1,2.99670388512858210e+00,1,1.24735333599999990e+03,7.83353588739388051e+00,1.27945557710644486e+01
786,1,1.17250833476186457e+02,0,1.25550304600000004e+03,7.78473822468798193e+00,1.32571276996435241e+01
826,1,2.25735398921827972e+01,1,1.29245214099999998e+03,7.71665887546480711e+00,1.30319432147136354e+01
866,1,1.14199430035497080e+01,1,1.32062854999999990e+03,8.02225566333479101e+00,1.24078053879057109e+01
906,1,4.30025030242759527e+01,1,1.34009085299999992e+03,7.71250683538394277e+00,1.30842469675767177e+01
946,1,7.73458697083256510e+01,1,1.35866248500000006e+03,7.73154798347275651e+00,1.31372868745965974e+01
986,1,5.51644934756511063e+00,1,1.38662093299999992e+03,7.92672689747409809e+00,1.25961675581394239e+01
1026,1,1.71040546993341707e+01,1,1.40885625000000005e+03,7.89553509613306659e+00,1.25901460456400827e+01
1066,1,4.85574912849035911e+00,1,1.44476837900000010e+03,7.64319293625749996e+00,1.31510429522061720e+01
1106,1,6.74225869339979766e+00,1,1.48375731300000007e+03,7.72251177924539434e+00,1.29692522374275470e+01
1146,1,1.45669674970047893e+01,1,1.52011383400000000e+03,8.04221318433255306e+00,1.23135156218497350e+01
1186,1,1.10572060258785427e+01,1,1.56190031399999998e+03,7.90866634064944130e+00,1.25371197717406684e+01
1226,1,1.02141662601188443e+01,1,1.59102882300000010e+03,7.75871072468501310e+00,1.29370710828181235e+01
1266,1,4.13508403656875601e+00,1,1.62435140299999989e+03,7.78650131272810953e+00,1.27268803954250362e+01
1306,1,2.18273596251871282e+01,1,1.64836121699999990e+03,8.15690401068606974e+00,1.20802177867527387e+01
1346,1,5.06418751870005224e+01,2,1.83467959700000006e+03,7.77851970100782530e+00,1.28138511079339619e+01
1386,1,2.92492881298295586e+01,1,1.86217161899999996e+03,7.91179146695340485e+00,1.25847660146789408e+01
1426,1,3.02882937562409893e+00,2,1.92995757200000003e+03,8.04125090760977912e+00,1.22825110550674896e+01
1466,1,1.11288951853417615e+01,1,1.95322904900000003e+03,8.05351229030445204e+00,1.22710113853342104e+01
1506,1,6.15644750550126076e+01,0,1.96034902600000009e+03,7.92910576744919648e+00,1.24326639435477748e+01
1546,1,8.20480539434441880e+00,1,1.99017795500000011e+03,7.99922492672550867e+00,1.23276314309419259e+01
1586,1,6.80533010864557042e+00,1,2.02635079999999994e+03,8.26342600633957858e+00,1.19243650676459509e+01
1626,1,2.67200862963755696e+01,1,2.08097345899999982e+03,8.06709546544402301e+00,1.21079687824968456e+01
1666,1,1.97464210532181852e+01,1,2.11752279300000009e+03,8.00199699203579584e+00,1.22812579959554107e+01
1706,1,6.63013959106393713e-01,2,2.30277673599999980e+03,8.04082941143178687e+00,1.21362853892339508e+01
1746,1,3.73344786161025510e+01,1,2.34573725599999989e+03,8.30954548765514289e+00,1.18515268695681559e+01
1786,1,5.52657580455969821e+00,1,2.39660205600000018e+03,7.97131792460732047e+00,1.24403767077373875e+01
1826,1,2.96660318271488421e+01,1,2.43966664799999990e+03,8.11458344342691262e+00,1.22409059353637435e+01
1866,1,5.19233370429406307e+01,1,2.51972587900000008e+03,8.37968113092767553e+00,1.17119657508055610e+01
1906,1,3.02024199443464170e+00,2,2.68196938200000022e+03,8.04125491969544370e+00,1.22825168206580351e+01
1946,1,2.95347952177092736e+01,1,2.75825385400000005e+03,7.93066973914215367e+00,1.26043759950813605e+01
1986,1,7.90968812808951327e+00,1,2.83543711100000019e+03,8.11298731129930140e+00,1.21978872274030152e+01
2026,1,2.22600624807835175e+01,1,2.88458420699999988e+03,8.14969354713493566e+00,1.20585164344491069e+01
2066,1,2.11244436769095500e+01,1,2.91233345700000018e+03,7.78525708939066696e+00,1.28156364662307993e+01
2106,1,9.18490038884804250e+00,1,2.96305287499999986e+03,7.76617370351491765e+00,1.28520279761658749e+01
2146,1,4.18209639603567496e+00,2,3.16725159600000006e+03,8.04778154130358381e+00,1.21822481372383926e+01
2186,1,3.11885793831356466e+01,2,3.40650249200000007e+03,7.79339836023091870e+00,1.27536269424703281e+01
2226,1,4.33424459024065527e+01,1,3.44519791900000018e+03,7.71278430374749124e+00,1.30814439518645020e+01
2266,1,1.88804667140076674e+01,1,3.50671882199999982e+03,7.83517599492590744e+00,1.26845428201854560e+01
2306,1,1.29826963896482681e+01,1,3.53331693200000018e+03,7.96464575957403920e+00,1.23289265794607861e+01
2346,1,2.18333017274163765e+01,1,3.59149817799999983e+03,7.65971726331928515e+00,1.30354462126086474e+01
2386,1,5.20832780589568145e+01,1,3.67826642200000015e+03,7.83255021619693714e+00,1.29521067757833990e+01
2426,1,1.12654132559392792e+01,1,3.71234109699999999e+03,8.01831924123713158e+00,1.23744957784923759e+01
2466,1,6.22271280888939273e+01,0,3.72343837200000007e+03,7.92949871021033115e+00,1.24298764237856769e+01
2506,1,1.88647222876549421e+01,1,3.78125334299999986e+03,7.68628447907616685e+00,1.31405520342537034e+01
2546,1,4.20104877431731438e+00,1,3.84866149099999984e+03,7.76237488288951027e+00,1.29432816279074032e+01
2586,1,8.43399202326459942e+01,1,3.91197653200000013e+03,8.07698091921676031e+00,1.21294530560426992e+01
2626,1,1.84062577736601583e+01,1,3.95444808000000012e+03,7.77452046507977279e+00,1.28019970192290913e+01
2666,1,9.46095766604836683e+01,1,3.99175245200000018e+03,7.78684553491420051e+00,1.30326001137708367e+01
2706,1,4.52249100068244658e+01,1,4.02405254500000001e+03,7.79797504409889886e+00,1.27436973149294897e+01
2746,1,1.65086721162440142e+00,1,4.04676681499999995e+03,7.95784717183971591e+00,1.23046852593759546e+01
2786,1,2.29951971997894944e+01,1,4.09671251000000029e+03,7.71266394258654397e+00,1.30603631320927001e+01
2826,1,2.28451344631662039e+01,1,4.13266220299999986e+03,7.62562388539736258e+00,1.32093066247016129e+01
2866,1,3.58395332323576952e+01,1,4.19391959200000019e+03,7.99465671634579333e+00,1.23668329558783672e+01
2906,1,2.08272665765505707e+01,1,4.24308177299999988e+03,7.94116437359964600e+00,1.25163104107958336e+01
2946,1,4.29915665744430484e+01,1,4.28102916499999992e+03,7.71251294707282309e+00,1.30842394892794456e+01
2986,1,1.18740234266054330e+01,1,4.32901876300000004e+03,7.83482415360846751e+00,1.27036056189693607e+01
3026,1,4.19334318266744788e+00,1,4.37570062599999983e+03,8.14498188551039171e+00,1.21012309812097989e+01
3066,1,1.98628019189324334e+00,1,4.44310124199999973e+03,7.78365825385795773e+00,1.27426506002464937e+01
3106,1,6.70327108092420332e+00,1,4.50944867200000044e+03,7.79437934442001179e+00,1.28575731826248010e+01
3146,1,1.94711439988027308e+01,2,4.74144779099999960e+03,8.05927480483114245e+00,1.21985823653235101e+01
3186,1,2.52820503553100195e+01,1,4.79935623500000020e+03,8.20407501871133782e+00,1.20151538082737588e+01
3226,1,1.16143246517623311e+00,1,4.82652454500000022e+03,7.85349818703370772e+00,1.26407420242633535e+01
3266,1,3.32252908028963390e+01,2,5.06166718800000035e+03,7.86743567164829471e+00,1.25749775321781385e+01
3306,1,2.06614010863924698e+01,1,5.14341920000000027e+03,8.19400440358302795e+00,1.18990864247343886e+01
3346,1,2.18101126285066726e+01,1,5.19018599999999969e+03,8.15689007097852858e+00,1.20802581329801431e+01
3386,1,1.67549445400300776e+01,1,5.24535512199999994e+03,8.01844821458415247e+00,1.24002155874239293e+01
3426,1,2.65906338079716882e+01,1,5.34453110600000036e+03,8.23421089200336453e+00,1.20022920686211307e+01
3466,1,5.84360629816075061e+00,1,5.42585188500000004e+03,8.29713063154710717e+00,1.17234778109424731e+01
3506,1,3.16066049146340333e+01,1,5.49214391299999988e+03,8.16708085116974125e+00,1.21221180899190877e+01
3546,1,6.94972011980056337e+00,1,5.51581706599999961e+03,8.11293733300246878e+00,1.21340235364948441e+01
3586,1,3.97646838135980829e+00,1,5.57246553299999960e+03,8.29274936651263239e+00,1.18942402212278520e+01
3626,1,1.10408791463503064e+00,2,5.86715443700000014e+03,8.30923765583914253e+00,1.18575998056047123e+01
