box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
19,1,1.98674910969510918e+01,1,5.15602069999999983e+01,8.18439756140211294e+00,1.19198163330212950e+01,1.53731767361397292e-01,1.60000000000000000e+01,1.19559339836595768e+00
59,1,1.02107449530075485e+01,1,6.49244220000000070e+01,7.97104574973057023e+00,1.23521534296501674e+01,9.92729212707705588e-02,1.60000000000000000e+01,1.19559339836595768e+00
99,1,4.49531268951150764e+00,1,8.97634970000000010e+01,8.11562406655123958e+00,1.21187120149018615e+01,1.17494694070487168e-01,1.60000000000000000e+01,1.19559339836595768e+00
139,1,3.05920352860697840e+01,1,1.14989962000000006e+02,8.28089160395330381e+00,1.17712118104758829e+01,1.60405419155042445e-01,1.60000000000000000e+01,1.19559339836595768e+00
179,1,1.11288951853414488e+01,1,1.59120387999999991e+02,8.05351229030445204e+00,1.22710113853342104e+01,1.03224626493040261e-01,1.60000000000000000e+01,1.19559339836595768e+00
219,1,2.76824431477473922e+01,1,2.02253929999999997e+02,7.88184940561097580e+00,1.25497629876109773e+01,1.12669517403224673e-01,1.60000000000000000e+01,1.19559339836595768e+00
259,1,6.70181280252208467e+00,1,2.65713787000000025e+02,7.99383210802027477e+00,1.22712839752794967e+01,1.59350723551484968e-01,1.60000000000000000e+01,1.19559339836595768e+00
299,1,2.00851755800815823e+01,1,3.00905819000000008e+02,8.14193564652758717e+00,1.21613347303668125e+01,1.07588957215719871e-01,1.60000000000000000e+01,1.19559339836595768e+00
339,1,3.68871022383779206e+01,2,4.15729779000000008e+02,7.76202339794795648e+00,1.28438182499744009e+01,1.04852510298341584e-01,1.60000000000000000e+01,1.19559339836595768e+00
379,1,2.92492881298295515e+01,1,4.71046763999999996e+02,7.91179146695340485e+00,1.25847660146789408e+01,1.70453584926291424e-01,1.60000000000000000e+01,1.19559339836595768e+00
419,1,2.04110603515988061e+01,1,5.17476082000000019e+02,8.06208988713490626e+00,1.22536499290351948e+01,1.05288785824321607e-01,1.60000000000000000e+01,1.19559339836595768e+00
459,1,1.10572060258780596e+01,1,5.47856948999999986e+02,7.90866634064944218e+00,1.25371197717406684e+01,1.14585619338124070e-01,1.60000000000000000e+01,1.19559339836595768e+00
499,1,4.78869421886354374e+01,1,5.82410870000000045e+02,7.69677050260546025e+00,1.30346461139501315e+01,1.71726658891989153e-01,1.60000000000000000e+01,1.19559339836595768e+00
539,1,4.17781540524848083e+01,2,7.82233842999999979e+02,7.73657280608275855e+00,1.29029187651835304e+01,9.11482572069512997e-02,1.60000000000000000e+01,1.19559339836595768e+00
579,1,5.33097927729991383e+00,1,8.36553110999999944e+02,7.97601994643013956e+00,1.24061230306662100e+01,1.15578189214143867e-01,1.60000000000000000e+01,1.19559339836595768e+00
619,1,1.49224158736745167e+01,1,8.59109340999999972e+02,7.66514516165476767e+00,1.30792775278009596e+01,1.67318638514751011e-01,1.60000000000000000e+01,1.19559339836595768e+00
