box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
16,1,3.83890087254968648e+00,2,2.18111309000000006e+02,8.09796350907473261e+00,1.20283232431238325e+01
56,1,1.01989774251144851e+01,1,2.79577241000000015e+02,8.01111355280464110e+00,1.22078457047428000e+01
96,1,5.30914873675094157e+00,0,2.96466751999999985e+02,7.98544233287072291e+00,1.23360116098708801e+01
136,1,2.72185440225476327e+00,2,4.26165980999999988e+02,8.17865436655188560e+00,1.19386510193619557e+01
176,1,2.00280931472159125e+01,1,4.76231515000000002e+02,8.07719489694958881e+00,1.21815586671000240e+01
216,1,2.97916647252441393e+01,1,5.28094512000000009e+02,7.94278136453435568e+00,1.25223531313359988e+01
256,1,1.57954082106429894e+00,1,5.64481599999999958e+02,8.04987418137027078e+00,1.22163864428832767e+01
296,1,6.62611908754225709e-01,2,8.15982483999999999e+02,8.05143728366085831e+00,1.22036734951615209e+01
336,1,4.46912832745195487e+00,1,8.63019530000000032e+02,7.98874283411577490e+00,1.25010920557831771e+01
376,1,2.43122193191678093e+01,1,9.33204332000000022e+02,7.88782933390555563e+00,1.25983823479016372e+01
416,1,2.05406535035322975e+01,1,9.89982771999999954e+02,8.08531411144163670e+00,1.21980305002939176e+01
456,1,3.35005587393495574e+00,1,1.04125796399999990e+03,8.05122339854646718e+00,1.23954278909404163e+01
496,1,1.50129357357323272e+01,1,1.11610825199999999e+03,7.66750530146016906e+00,1.30726023976680263e+01
536,1,1.73294024748227642e+01,1,1.18262510100000009e+03,7.90884514443699160e+00,1.27247440166947516e+01
576,1,1.84027919219944209e+01,1,1.19738963199999989e+03,7.99601257276698263e+00,1.23662763736205878e+01
616,1,1.93958469172528680e-01,1,1.23831673599999999e+03,7.68779196291391820e+00,1.31205903868950191e+01
656,1,3.59388805550907264e+01,1,1.27615277399999991e+03,7.62898594922824724e+00,1.32474466387357221e+01
696,1,2.62181316679848742e+01,1,1.33975227799999993e+03,7.84566627358302071e+00,1.27437964203183274e+01
736,1,1.13407660572337221e+01,1,1.38632423100000005e+03,8.02554346751111325e+00,1.24748752761492998e+01
776,1,3.81907909055657129e+01,1,1.40470438199999990e+03,7.64440715580751906e+00,1.32526974442256087e+01
816,1,9.25740566502083198e+01,1,1.44115050399999996e+03,7.94574238453837012e+00,1.28022341420606729e+01
856,1,2.31844154246958105e+01,1,1.47407640399999991e+03,8.14137335023725939e+00,1.22618732232846348e+01
896,1,1.73418149925724485e+01,1,1.50204197599999998e+03,7.77554197993350904e+00,1.28814963933473710e+01
936,1,1.14135110019742783e+02,1,1.52596596199999999e+03,7.84600277797680601e+00,1.29301226202094099e+01
976,1,4.01401011433557997e+00,1,1.57546557200000007e+03,7.91050050718667297e+00,1.26974325392812393e+01
1016,1,1.19144617251615834e+01,1,1.64846887199999992e+03,8.13688546033543858e+00,1.22202920799503669e+01
1056,1,2.44706424951775858e+00,1,1.70351111199999991e+03,7.79690263424905883e+00,1.28694709196879717e+01
1096,1,4.23790252310024584e+01,1,1.77002284400000008e+03,7.63446890682674884e+00,1.32292149771017034e+01
1136,1,3.78755583807262752e+01,1,1.85018047400000000e+03,8.00058966824636286e+00,1.24578079185920281e+01
1176,1,5.13325796806644519e+00,1,1.87231932699999993e+03,7.90805315135314935e+00,1.25421988241179161e+01
1216,1,1.20854009884286384e+01,1,1.93675773099999992e+03,7.66846664727445848e+00,1.30772699953348486e+01
1256,1,2.54112993695475780e+01,1,2.00764575599999989e+03,7.91318119920090801e+00,1.27331549053718120e+01
1296,1,1.45076298021260364e+01,1,2.07165093399999978e+03,8.15938759359265831e+00,1.22579280412931304e+01
1336,1,4.76505952001431865e-01,2,2.14032436000000007e+03,7.92620027887568668e+00,1.25303597220824514e+01
1376,1,3.10044596536307679e+01,1,2.17354295599999978e+03,7.90953186966923827e+00,1.26121796477278103e+01
1416,1,3.43254475357955755e+01,1,2.19735632699999996e+03,8.01888895140766245e+00,1.24180633325464278e+01
1456,1,9.57507004695722230e+00,1,2.22156547399999999e+03,8.13256303768972977e+00,1.20958030450345468e+01
1496,1,3.05761742535811720e+00,2,2.29903521000000001e+03,7.89639129920855964e+00,1.25100402138991935e+01
1536,1,2.28967448645760214e+01,1,2.32672056100000009e+03,7.90652530520804309e+00,1.25655296530052958e+01
1576,1,5.96056368250895119e+00,2,2.48332688099999996e+03,8.09496157420199935e+00,1.20607219926493645e+01
1616,1,6.91387355185014485e-01,2,2.55349303099999997e+03,8.06600048148896853e+00,1.20774431114327463e+01
1656,1,4.89545715794086149e+01,1,2.60769596300000012e+03,8.01429737277064902e+00,1.23202556586580094e+01
