box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
41,1,5.41398126019150538e+00,1,4.73994810000000015e+01,8.01675772927670138e+00,1.21631694618451665e+01
89,1,9.29143400482934823e+00,0,6.21879769999999965e+01,8.01028406216406808e+00,1.22088778328583309e+01
137,1,3.44038014021840866e-01,0,7.66370830000000041e+01,8.22238910283702396e+00,1.18626595095579450e+01
185,1,2.97217979116291247e+01,2,4.65377632000000006e+02,7.85935907855487237e+00,1.24665227963665917e+01
233,1,1.77661165545235633e+00,2,6.75025560000000041e+02,7.85231148526757217e+00,1.25265586167197540e+01
281,1,1.56802788137859750e+00,2,7.97469571999999971e+02,8.12841741763547709e+00,1.20421663317423011e+01
329,1,1.47292336127622008e+01,1,8.76324710999999979e+02,7.90352556117721949e+00,1.25051381910967017e+01
377,1,3.88990867241642491e+01,2,1.26377238299999999e+03,7.71724961224506512e+00,1.28390214690390447e+01
425,1,5.85444143054537847e-01,2,1.65024829000000000e+03,8.05077048221834168e+00,1.22044510793917560e+01
473,1,1.73704342000653966e+01,1,1.72969590599999992e+03,7.80908677012432939e+00,1.27255981403403631e+01
521,1,3.63143403853389657e+00,2,1.94067076599999996e+03,7.61333945914214638e+00,1.31113813368611680e+01
569,1,2.45588370931770328e+00,2,2.15309963000000016e+03,8.00500072576818944e+00,1.23229461197080337e+01
617,1,1.60382963440403614e+01,1,2.18920658499999990e+03,7.61791595142212774e+00,1.31237275400908917e+01
665,1,2.86915293025447227e+00,1,2.22324979100000019e+03,7.58601578734024606e+00,1.32603066835649663e+01
713,1,8.11911031352283175e+00,1,2.25765477199999987e+03,8.00077101643783450e+00,1.23766380963485076e+01
761,1,2.40671692061163256e+00,0,2.27175368799999978e+03,7.67855738901763463e+00,1.31110478681598543e+01
809,1,3.79848034698936488e+01,0,2.28584917600000017e+03,7.64418756423395696e+00,1.32529549795707613e+01
857,1,1.49492704637259841e+01,0,2.29992311599999994e+03,8.03638915483844052e+00,1.23603149772834584e+01
905,1,4.93157481907061879e-01,0,2.31404210199999989e+03,7.67949486113895485e+00,1.31160067317440934e+01
953,1,3.92524380525048571e+01,0,2.32812951199999998e+03,7.64354430271987706e+00,1.32495384807433165e+01
1001,1,1.64240556492092367e+01,0,2.34223959500000001e+03,8.03682729671959351e+00,1.23544056712918575e+01
1049,1,1.25678971602707605e+01,1,2.37846569099999988e+03,7.61915460937006372e+00,1.31395685495404670e+01
1097,1,4.90479870362059245e+00,1,2.41260569699999996e+03,7.58452892645370991e+00,1.32500901309932839e+01
