box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
27,1,2.11346089327600417e+01,1,5.16925209999999993e+01,8.18882795797139451e+00,1.19670348446696284e+01,1.18713544379621755e-01,1.92135073405252399e+01,4.40910073889119758e+00
87,1,3.32394868182169034e+01,1,7.64434420000000046e+01,8.12508664948954973e+00,1.21219680690397009e+01,1.20472945712012891e-01,1.92734444893140662e+01,4.46903788768002386e+00
147,1,1.52280193716085961e+01,1,9.96202480000000037e+01,8.24649591840341500e+00,1.19101151284772335e+01,1.20969559916876565e-01,1.92891450379911227e+01,4.48473843635708036e+00
207,1,1.36455853128607174e+01,0,1.10132223999999994e+02,7.89964504098754716e+00,1.25135826216854884e+01,1.11558939492440085e-01,1.86369984952312784e+01,3.83259189359723607e+00
267,1,3.19308247526295226e+01,1,1.59457700999999986e+02,8.19943667058872983e+00,1.21077945769496651e+01,1.18239709973781568e-01,1.94739559378741625e+01,4.66954933624012014e+00
327,1,2.62084426880261532e+01,1,2.02628746000000007e+02,8.02578032627926596e+00,1.24642907061250980e+01,1.17868823849170953e-01,1.92979618338957231e+01,4.49355523226168074e+00
387,1,1.70777076390049913e+01,1,2.35795118000000002e+02,8.01943010335364548e+00,1.25013680909421065e+01,1.17180274130325154e-01,1.93314583208267301e+01,4.52705171919268778e+00
447,1,2.49450869915115732e+01,1,2.68844052999999974e+02,8.10407314996691319e+00,1.23304631244740293e+01,1.20536200583394565e-01,1.93813585066464675e+01,4.57695190501242521e+00
507,1,2.37828650611374144e+01,1,2.91569815000000006e+02,7.85496097292336426e+00,1.27954566492790622e+01,1.20755932660623580e-01,1.88125396648528600e+01,4.00813306321881768e+00
567,1,3.05411827847647572e+01,1,3.35365766000000008e+02,8.17839600706427738e+00,1.22033092962758332e+01,1.22228453268449583e-01,1.94852534091549217e+01,4.68084680752087934e+00
627,1,5.42954934674068568e+00,1,3.76874029000000007e+02,7.79826631229756373e+00,1.29038415727199034e+01,1.18581348450555055e-01,1.86277683508359360e+01,3.82336174920189364e+00
687,1,2.23538751201199233e+01,1,4.37467101000000014e+02,7.98556920765682943e+00,1.26436770667060099e+01,1.20896664646772817e-01,1.93454647340495214e+01,4.54105813241547907e+00
747,1,1.51468601323553820e+01,1,4.69864190000000008e+02,7.93597535841868496e+00,1.26626024268735407e+01,1.23685668188465547e-01,1.90814182030383961e+01,4.27701160140435377e+00
807,1,2.82348782775142695e+01,0,4.80092742999999984e+02,7.70092467529663427e+00,1.31332314343356860e+01,1.16494722766197392e-01,1.84677358357791128e+01,3.66332923414507050e+00
867,1,7.93082414191316332e+00,0,4.91510926999999981e+02,8.02338002441712383e+00,1.23946163445054474e+01,1.22128479657945793e-01,1.92934314699083025e+01,4.48902486827426017e+00
927,1,7.87222812854076182e+01,0,5.04704608000000007e+02,7.73286565872342369e+00,1.31356061416542964e+01,1.21849630997880862e-01,1.87182663504366822e+01,3.91385974880263987e+00
987,1,1.95114571724423058e+01,1,5.27545216999999980e+02,8.03933542067786000e+00,1.24603051887648668e+01,1.26173370520061306e-01,1.92162332923530350e+01,4.41182669071899269e+00
1047,1,2.72407728709392600e+01,1,5.59436718000000042e+02,7.91686970285332148e+00,1.28074470473575488e+01,1.20624499240677002e-01,1.92934469189520286e+01,4.48904031731798625e+00
1107,1,3.22781319237344064e+01,1,5.90401227999999946e+02,7.91745903178004706e+00,1.27912752386317088e+01,1.20498420722106189e-01,1.92717773761845841e+01,4.46737077455054177e+00
1167,1,1.74843119978555102e+01,1,6.21722388000000024e+02,8.09475970899212172e+00,1.23754920229237353e+01,1.19409733347580538e-01,1.94083575919469702e+01,4.60395099031292787e+00
1227,1,2.91123777304521383e+01,1,6.45165545999999949e+02,7.85317939835346301e+00,1.27937826152572871e+01,1.19972349776389417e-01,1.87532367718161304e+01,3.94883017018208804e+00
1287,1,3.74267367682557719e+01,1,6.76094338999999991e+02,8.18907674798224328e+00,1.21571842814789708e+01,1.23673069524923573e-01,1.94623710587791052e+01,4.65796445714506291e+00
1347,1,3.65753395268791266e+01,1,7.07474282000000017e+02,7.99094597162875697e+00,1.25693939273603768e+01,1.18754981787525415e-01,1.93326695324525986e+01,4.52826293081855624e+00
1407,1,2.27314657763422048e+01,1,7.39092063000000053e+02,8.08245251983566959e+00,1.23401939404281151e+01,1.18212229500419944e-01,1.93353511391746302e+01,4.53094453754058790e+00
1467,1,2.86566646248184824e+01,1,7.70308837000000040e+02,8.14322972749718055e+00,1.22169385250169107e+01,1.17438826880207764e-01,1.94291359918015623e+01,4.62472939016751994e+00
