box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
25,1,1.71126833554199749e+01,0,2.46577419999999989e+01,8.06164731921771427e+00,1.21795563993492912e+01,8.77793548716973848e-02,1.85157233830155903e+01,3.71131678138154797e+00
85,1,2.75643439070934875e+01,0,3.77939110000000014e+01,8.01500873817395387e+00,1.23295255702174469e+01,9.03094535679104804e-02,1.86705014288983051e+01,3.86609482726426279e+00
145,1,1.32837271807123471e+01,0,4.86904600000000016e+01,8.11132790664175474e+00,1.21094701646704479e+01,9.02510572153625013e-02,1.86791860504573641e+01,3.87477944882332181e+00
205,1,5.43171470955866624e+01,0,5.66423959999999980e+01,7.95358063880947874e+00,1.24945487566527103e+01,8.99102977266187375e-02,1.83931723044422739e+01,3.58876570280823159e+00
265,1,5.32425615442203792e+00,1,8.07581399999999974e+01,8.13941177267424720e+00,1.21749491605638838e+01,9.65448606530423803e-02,1.89525925821784220e+01,4.14818598054437970e+00
325,1,2.20587527743703049e+01,1,1.03185424999999995e+02,8.00689720819963036e+00,1.24426125404090566e+01,9.35790693175622690e-02,1.84629070626408520e+01,3.65850046100680970e+00
385,1,2.91262320723406276e+00,1,1.29956547999999998e+02,7.99877115292817553e+00,1.24837135507585870e+01,9.38553643425253936e-02,1.85702819841195108e+01,3.76587538248546849e+00
445,1,2.05794332922928547e+01,1,1.54936465999999996e+02,8.07118133159768014e+00,1.23332855841875073e+01,9.71242440631812365e-02,1.86749349811130649e+01,3.87052837947902262e+00
505,1,5.10689517193051401e+01,0,1.61848208000000000e+02,7.83400331080135892e+00,1.28450418692038255e+01,8.99627788183632038e-02,1.81461870028246750e+01,3.34178040119063269e+00
565,1,1.51131214335649986e+01,1,1.93307764999999989e+02,8.13678688618635171e+00,1.22433835017703743e+01,1.00811856580110881e-01,1.89816134804231851e+01,4.17720687878914276e+00
625,1,4.59906164381147775e+01,0,2.06151179000000013e+02,7.79460926224149020e+00,1.29224385561878901e+01,8.73137460726543246e-02,1.79610912671126464e+01,3.15668466547860405e+00
685,1,2.18684658972965380e+01,1,2.47113291000000004e+02,7.99056123150433351e+00,1.25838812653947514e+01,9.80602335681073634e-02,1.86171195802250580e+01,3.81271297859101566e+00
745,1,4.21366061418015718e+01,0,2.60149670000000015e+02,7.88962978211130128e+00,1.27240049946603673e+01,9.18615485860755920e-02,1.83551287087324297e+01,3.55072210709838743e+00
805,1,7.93398329658573829e+01,0,2.73180353000000025e+02,7.82723546014919691e+00,1.29280331689390291e+01,9.44724190663382979e-02,1.83094884770578048e+01,3.50508187542376248e+00
865,1,3.74691534809205038e+01,0,2.86195967999999993e+02,8.04561564816146202e+00,1.23947753836573114e+01,9.98754323888770001e-02,1.88622297853515519e+01,4.05782318371750961e+00
925,1,1.13003724870333613e+02,0,2.99159809999999993e+02,7.84796166429605346e+00,1.29302818891727895e+01,9.91217703473899758e-02,1.84674020914041179e+01,3.66299548977007561e+00
985,1,3.94901454827507692e+01,0,3.11880947999999989e+02,7.96650023888374914e+00,1.25558125217176944e+01,9.43368456604101457e-02,1.85591611055974361e+01,3.75475450396339383e+00
1045,1,1.97536990615240882e+00,0,3.20632003999999995e+02,7.80680463125031565e+00,1.28827041213250748e+01,8.63429887036354093e-02,1.80618109266630640e+01,3.25740432502902166e+00
