box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
3,1,1.60905340460864181e+01,0,2.18896419999999985e+01,8.21259498909271635e+00,1.18751317861705328e+01,1.13671863403855905e-01,1.91824532730066402e+01,4.37804667137259784e+00
35,1,9.92138278317076328e+00,1,4.58908380000000022e+01,8.16183922713307552e+00,1.20715438496305989e+01,1.06005941582445445e-01,1.91209767718089410e+01,4.31657017017489864e+00
67,1,9.33542469690342500e+01,0,5.34680930000000032e+01,8.08643727499230103e+00,1.21191281550111842e+01,1.67738276358560617e-01,1.97338400256411504e+01,4.92943342400710804e+00
99,1,1.20051697157747910e+01,1,7.36663790000000063e+01,8.13210502170017158e+00,1.20897846630853341e+01,1.17494694070487168e-01,1.92537481869812623e+01,4.44934158534722002e+00
131,1,5.89371028933300067e+00,0,8.01129569999999944e+01,8.11721482169442865e+00,1.20462216617538544e+01,9.90023009789862685e-02,1.87872248439613827e+01,3.98281824232734039e+00
163,1,1.30716592848272910e+01,0,8.66372400000000056e+01,8.09418351066030795e+00,1.21093015631069836e+01,1.54127209750600846e-01,1.97330985086792481e+01,4.92869190704520577e+00
195,1,1.02710514192138973e+01,1,1.07208558999999994e+02,8.01346594264169099e+00,1.23197453369884933e+01,1.17095013106898529e-01,1.89143162796697410e+01,4.10990967803569873e+00
227,1,3.08165285828639242e+01,0,1.13616872000000001e+02,7.92272502145481639e+00,1.25095198981817024e+01,9.91952982444946618e-02,1.84504690431202967e+01,3.64606244148625436e+00
259,1,9.62184914342077491e+00,0,1.19984082000000001e+02,8.01408433128050390e+00,1.22354190099558213e+01,1.59350723551484968e-01,1.97333933865072098e+01,4.92898678487316744e+00
291,1,5.53705616695701508e-01,1,1.40079142999999988e+02,8.17832267605573016e+00,1.20455599401431233e+01,1.20446106310448137e-01,1.92361536706568259e+01,4.43174706902278359e+00
323,1,2.85809809662239971e+01,1,1.69155869999999993e+02,8.07818739243396777e+00,1.23971350568118339e+01,1.06384993220355772e-01,1.92390112099776509e+01,4.43460460834360859e+00
355,1,5.41224575397895080e+01,0,1.75359946000000008e+02,7.80662905129810003e+00,1.27353204956916422e+01,1.68552226810879113e-01,1.97350825339922018e+01,4.93067593235815949e+00
387,1,1.72073066162051660e+01,1,2.04370259000000004e+02,8.01943010335364548e+00,1.25013680909421065e+01,1.17180274130325154e-01,1.93314583208267301e+01,4.52705171919268778e+00
419,1,4.26561299872275015e+01,1,2.33572586000000001e+02,8.15305436680000106e+00,1.22133497512488010e+01,1.08674077023815929e-01,1.92708762753664651e+01,4.46646967373242276e+00
451,1,8.57647699287295495e+00,1,2.53346146000000005e+02,8.05538705163454161e+00,1.23399531236609246e+01,1.66354025119039378e-01,1.97338634952183831e+01,4.92945689358434080e+00
483,1,3.92924928485631781e+01,1,2.82142351000000019e+02,7.91779839728309653e+00,1.27596486968552831e+01,1.18968651597362002e-01,1.92582414342799773e+01,4.45383483264593494e+00
515,1,2.28944492117675722e+01,0,2.88423035000000027e+02,7.76873690310774023e+00,1.29229150928761083e+01,9.75640440666690756e-02,1.80112151706987973e+01,3.20680856906475498e+00
547,1,2.29960811421285882e+00,1,3.12494638000000009e+02,7.94428614012788614e+00,1.25318635852381774e+01,1.69097116204670661e-01,1.97343409923794155e+01,4.92993439074537321e+00
579,1,9.08973287090999094e+00,1,3.32244983999999988e+02,8.12155599274518103e+00,1.22327634558631644e+01,1.24666756519979091e-01,1.92656576061461280e+01,4.46125100451208567e+00
611,1,4.12131374402830275e+01,1,3.61420840999999996e+02,8.00571691770075589e+00,1.26145710310495822e+01,1.09654635294531511e-01,1.92063970646603259e+01,4.40199046302628361e+00
643,1,8.00586582736761017e+01,0,3.67444658000000004e+02,7.72140952129627234e+00,1.32217117482372810e+01,1.77613182534940406e-01,1.97365769969349181e+01,4.93217039530087575e+00
675,1,2.72956399147484987e+01,1,3.96354612999999972e+02,7.91686970285332148e+00,1.28074470473575488e+01,1.20624499240677002e-01,1.92934469189520286e+01,4.48904031731798625e+00
707,1,8.40559463172180799e+00,1,4.16276140999999996e+02,8.03616409742631888e+00,1.24167531562831108e+01,1.08786135858672334e-01,1.88371340116340100e+01,4.03272740999996770e+00
739,1,3.25128691702410109e+01,0,4.22445115999999985e+02,7.93559857712154848e+00,1.25822077314284755e+01,1.74078132170367134e-01,1.97346268729005097e+01,4.93022027126646734e+00
771,1,3.27125635653989022e+01,0,4.28674241999999992e+02,7.69996669810920942e+00,1.31273510180445943e+01,1.15859479450309888e-01,1.84151702763182819e+01,3.61076367468423953e+00
803,1,9.60577563109027892e+01,0,4.34914097000000027e+02,7.78821915514889351e+00,1.30308776697538580e+01,1.08175174364932458e-01,1.85005942830667642e+01,3.69618768143272192e+00
835,1,3.21504055893904734e+01,0,4.41032758000000001e+02,7.81184249729296276e+00,1.28443037960893971e+01,1.74899837567074862e-01,1.97352656013056027e+01,4.93085899967156038e+00
867,1,8.19168157886049286e+00,0,4.47273079999999993e+02,8.02338002441712383e+00,1.23946163445054474e+01,1.22128479657945793e-01,1.92934314699083025e+01,4.48902486827426017e+00
899,1,1.18946137425626901e+01,0,4.53556215000000009e+02,7.84178934086302526e+00,1.27844875054511036e+01,1.01387386230960108e-01,1.84162278891183426e+01,3.61182128748430031e+00
931,1,1.17374831815940240e+02,0,4.59652448999999990e+02,7.78634025610020952e+00,1.32566095673814051e+01,1.86461705460676558e-01,1.97371393556950494e+01,4.93273275406100709e+00
963,1,2.42407543137975132e+01,1,4.79360592999999994e+02,7.86149386246595938e+00,1.28345620397303417e+01,1.23145956334585166e-01,1.88969404311649427e+01,4.09253382953090039e+00
995,1,8.30546315681150205e+00,0,4.85574001000000010e+02,7.93945435226105811e+00,1.25938812821298480e+01,1.05500486711164548e-01,1.87493720383260474e+01,3.94496543669200506e+00
1027,1,3.45253580816202899e+00,0,4.91831511999999975e+02,7.90742917323761318e+00,1.25688366419370645e+01,1.68030186099243500e-01,1.97342751706040005e+01,4.92986856896995818e+00
1059,1,1.48080375344825654e+00,1,5.16396671999999967e+02,7.87895748863258660e+00,1.29132302579191425e+01,1.21787716585428821e-01,1.88539429907286795e+01,4.04953638909463720e+00
1091,1,4.89442557110773038e+01,0,5.22670549000000051e+02,7.75394763036652712e+00,1.30324625113185792e+01,1.01974925497026192e-01,1.82182857136740139e+01,3.41387911203997163e+00
1123,1,1.11707566939980651e+01,1,5.42420074999999997e+02,7.91140197882211993e+00,1.26749688073320694e+01,1.71993645265088924e-01,1.97348399356714737e+01,4.93043333403743134e+00
1155,1,3.05912704654172494e+01,1,5.71429476000000022e+02,8.17839600706427738e+00,1.22033092962758332e+01,1.22228453268449583e-01,1.94852534091549181e+01,4.68084680752087579e+00
