box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
9,1,2.72185440225493380e+00,2,9.17993979999999965e+01,8.17865436655188560e+00,1.19386510193619557e+01,1.22556423007779802e-01,1.60000000000000000e+01,1.19559339836595768e+00
49,1,5.30914873675078525e+00,0,9.98481230000000011e+01,7.98544233287072291e+00,1.23360116098708801e+01,8.94475938535661819e-02,1.60000000000000000e+01,1.19559339836595768e+00
89,1,1.01989774251146201e+01,1,1.43654162000000014e+02,8.01111355280464110e+00,1.22078457047427982e+01,1.42428143569548998e-01,1.60000000000000000e+01,1.19559339836595768e+00
129,1,3.83890087254966517e+00,2,3.14463331999999980e+02,8.09796350907473261e+00,1.20283232431238325e+01,1.25076387567905872e-01,1.60000000000000000e+01,1.19559339836595768e+00
169,1,1.54813529726595718e+01,2,4.80539158999999984e+02,7.91590869923484419e+00,1.24436459060943605e+01,8.45564401100011576e-02,1.60000000000000000e+01,1.19559339836595768e+00
209,1,1.87418694514270214e+01,1,5.44624503000000004e+02,7.89017300641460473e+00,1.24860780380966947e+01,1.46416626435279251e-01,1.60000000000000000e+01,1.19559339836595768e+00
249,1,1.33232054135126674e+01,1,5.91124242999999979e+02,8.00747172838609345e+00,1.22837787889365835e+01,1.29792445621209923e-01,1.60000000000000000e+01,1.19559339836595768e+00
289,1,7.39181796791541501e-01,2,6.57870496000000003e+02,8.01194509050616865e+00,1.22903686792018281e+01,8.94238160256771164e-02,1.60000000000000000e+01,1.19559339836595768e+00
329,1,1.54935420069720777e+01,1,7.01313467999999943e+02,7.93575009542288434e+00,1.25038218490922333e+01,1.46576596817016180e-01,1.60000000000000000e+01,1.19559339836595768e+00
369,1,1.84744256148966741e+01,1,7.34182746999999949e+02,7.75228887369257791e+00,1.28178689949748321e+01,1.25811853402498341e-01,1.60000000000000000e+01,1.19559339836595768e+00
409,1,3.07626744908681786e+01,1,7.58692146999999977e+02,8.07540139306364146e+00,1.23127473294869940e+01,9.59079216837243065e-02,1.60000000000000000e+01,1.19559339836595768e+00
449,1,2.82260145919476670e+01,2,9.01896949999999947e+02,7.92207454960696644e+00,1.25386666755487113e+01,1.42172145863106919e-01,1.60000000000000000e+01,1.19559339836595768e+00
489,1,2.38744045238111831e+01,2,1.06661756599999990e+03,7.69092985175447552e+00,1.31251084966496272e+01,1.21347155609997676e-01,1.60000000000000000e+01,1.19559339836595768e+00
529,1,5.18201123956153253e-01,1,1.09438960900000006e+03,7.79805957574645170e+00,1.28472792949236432e+01,8.30169892978768198e-02,1.60000000000000000e+01,1.19559339836595768e+00
569,1,3.00726092194392436e+00,2,1.18001688700000000e+03,8.00556039783101880e+00,1.23222974405943795e+01,1.42119508241737275e-01,1.60000000000000000e+01,1.19559339836595768e+00
609,1,1.40316786920147116e+01,1,1.24381566399999997e+03,7.96156359443863693e+00,1.26760160457197006e+01,1.35325448811045440e-01,1.60000000000000000e+01,1.19559339836595768e+00
649,1,9.12829972991204386e+01,1,1.30900550999999996e+03,7.94216066679453991e+00,1.27970640989225490e+01,1.03792196077250154e-01,1.60000000000000000e+01,1.19559339836595768e+00
689,1,3.86408296100394040e+01,1,1.36921458899999993e+03,7.87743911091785876e+00,1.26834758372532779e+01,1.50926317306537688e-01,1.60000000000000000e+01,1.19559339836595768e+00
729,1,2.31844154246958709e+01,1,1.40604511800000000e+03,8.14137335023725939e+00,1.22618732232846348e+01,1.44980412023235167e-01,1.60000000000000000e+01,1.19559339836595768e+00
769,1,9.25740566502081776e+01,1,1.47110329400000001e+03,7.94574238453837012e+00,1.28022341420606729e+01,1.04295519775329831e-01,1.60000000000000000e+01,1.19559339836595768e+00
809,1,3.81907909055657129e+01,1,1.48957223799999997e+03,7.64440715580751906e+00,1.32526974442256087e+01,1.55247202534537415e-01,1.60000000000000000e+01,1.19559339836595768e+00
849,1,1.13407660572334912e+01,1,1.52819224299999996e+03,8.02554346751111147e+00,1.24748752761492980e+01,1.41422660298063635e-01,1.60000000000000000e+01,1.19559339836595768e+00
889,1,2.87158051237682130e+01,1,1.56135099100000002e+03,7.88624335892279849e+00,1.27404256828828046e+01,9.32679128620136355e-02,1.60000000000000000e+01,1.19559339836595768e+00
929,1,9.04551827669881874e+01,1,1.58008275400000002e+03,7.67900580215791262e+00,1.32683288475107251e+01,1.61274108276476591e-01,1.60000000000000000e+01,1.19559339836595768e+00
969,1,1.06410534826128114e+01,1,1.64275938100000008e+03,7.68220500556893260e+00,1.30995196669421237e+01,1.31221126798872295e-01,1.60000000000000000e+01,1.19559339836595768e+00
1009,1,3.02130376724956164e+01,1,1.71525176000000010e+03,8.00190383319950627e+00,1.24379379402108388e+01,9.39612814831822796e-02,1.60000000000000000e+01,1.19559339836595768e+00
1049,1,1.30056812806137998e+01,1,1.78936849499999994e+03,7.61955374869448399e+00,1.31390384163950191e+01,1.43600171709807017e-01,1.60000000000000000e+01,1.19559339836595768e+00
1089,1,1.21525785432951707e+01,1,1.83494529800000009e+03,7.64014911083240023e+00,1.32201928665323134e+01,1.31484617590811897e-01,1.60000000000000000e+01,1.19559339836595768e+00
1129,1,2.70616856817269067e+01,1,1.89785339500000009e+03,7.92103308308775222e+00,1.25780846810090612e+01,8.90064620186816757e-02,1.60000000000000000e+01,1.19559339836595768e+00
1169,1,2.33313074181801809e+01,1,1.97019139999999993e+03,8.08189755870131421e+00,1.23696524391630369e+01,1.49309690888953212e-01,1.60000000000000000e+01,1.19559339836595768e+00
1209,1,2.80713034421199090e+01,2,2.19431885999999986e+03,7.69031301069619655e+00,1.31058925015384879e+01,1.21575409543711016e-01,1.60000000000000000e+01,1.19559339836595768e+00
1249,1,1.25897103677305751e+01,1,2.23860053299999981e+03,7.79663381887789431e+00,1.28085906234107458e+01,8.24273046896039363e-02,1.60000000000000000e+01,1.19559339836595768e+00
1289,1,2.54033719653236290e+00,1,2.30147819299999992e+03,8.01742757113910187e+00,1.22855382468536227e+01,1.45145969104677974e-01,1.60000000000000000e+01,1.19559339836595768e+00
1329,1,2.65120955212694298e-02,2,2.43505605999999989e+03,7.98389234998370068e+00,1.23782599552180450e+01,1.28727625264657947e-01,1.60000000000000000e+01,1.19559339836595768e+00
1369,1,3.39757120954235319e+01,1,2.49022267099999999e+03,7.87169991810088554e+00,1.26993002246306599e+01,8.81441744792632320e-02,1.60000000000000000e+01,1.19559339836595768e+00
