box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
46,1,1.12398507328039514e+01,1,4.97791420000000002e+01,8.13210502170017158e+00,1.20897846630853341e+01,1.17494694070487168e-01,1.92537481869812623e+01,4.44934158534722002e+00
106,1,2.56072308921137974e+01,1,9.20451199999999972e+01,8.14628032311325967e+00,1.20452676887290711e+01,1.18736287784797154e-01,1.91838247099115300e+01,4.37941810827748768e+00
166,1,3.19308247526295723e+01,1,1.48359784999999988e+02,8.19943667058872983e+00,1.21077945769496651e+01,1.18239709973781568e-01,1.94739559378741625e+01,4.66954933624012014e+00
226,1,1.36455853128608169e+01,0,1.61467451000000011e+02,7.89964504098754716e+00,1.25135826216854884e+01,1.11558939492440085e-01,1.86369984952312784e+01,3.83259189359723607e+00
286,1,1.52280193716087702e+01,1,1.86309875000000005e+02,8.24649591840341500e+00,1.19101151284772353e+01,1.20969559916876565e-01,1.92891450379911227e+01,4.48473843635708036e+00
346,1,3.65753395268793327e+01,1,2.45938876999999991e+02,7.99094597162875608e+00,1.25693939273603768e+01,1.18754981787525415e-01,1.93326695324525986e+01,4.52826293081855624e+00
406,1,2.27314657763420769e+01,1,2.97817388999999991e+02,8.08245251983566959e+00,1.23401939404281151e+01,1.18212229500419944e-01,1.93353511391746338e+01,4.53094453754059145e+00
466,1,9.61204952777088550e+00,1,3.46692636999999991e+02,8.01612918533468033e+00,1.25429449468635958e+01,1.17836481424941006e-01,1.93366811239461178e+01,4.53227452231207550e+00
526,1,3.92044697187155577e+01,1,4.08191311999999982e+02,7.91779839728309565e+00,1.27596486968552831e+01,1.18968651597362002e-01,1.92582414342799844e+01,4.45383483264594204e+00
586,1,2.45777093670707103e-01,1,4.41079270000000008e+02,8.11550247893706178e+00,1.22580875067403490e+01,1.24450928495347030e-01,1.93074205177106535e+01,4.50301391607661117e+00
646,1,2.39709852914796571e+01,0,4.54464998999999978e+02,7.69056466943131767e+00,1.31345241236014445e+01,1.14557110733278913e-01,1.83317407490665083e+01,3.52733414743246598e+00
706,1,3.30662440078423145e+01,1,5.13237634999999955e+02,8.07645314048767382e+00,1.24255793632553146e+01,1.22946556534370685e-01,1.93991939817032986e+01,4.59478738006925624e+00
766,1,2.06562891784190619e+01,1,5.55034523000000036e+02,7.86312232211701367e+00,1.28363062093879385e+01,1.23852917581934646e-01,1.90149503386560035e+01,4.21054373702196116e+00
826,1,2.41434212591179573e+01,1,5.86473558000000025e+02,7.86149386246595938e+00,1.28345620397303417e+01,1.23145956334585166e-01,1.88969404311649427e+01,4.09253382953090039e+00
886,1,1.95114571724424444e+01,1,6.08058743000000050e+02,8.03933542067786000e+00,1.24603051887648668e+01,1.26173370520061306e-01,1.92162332923530386e+01,4.41182669071899625e+00
946,1,7.87222812854077603e+01,0,6.14713751000000002e+02,7.73286565872342369e+00,1.31356061416542964e+01,1.21849630997880848e-01,1.87182663504366964e+01,3.91385974880265408e+00
1006,1,7.93082414191331253e+00,0,6.21509146999999984e+02,8.02338002441712383e+00,1.23946163445054491e+01,1.22128479657945779e-01,1.92934314699082989e+01,4.48902486827425662e+00
1066,1,5.42954934674157386e+00,1,6.42937230000000000e+02,7.79826631229756551e+00,1.29038415727199034e+01,1.18581348450555055e-01,1.86277683508359360e+01,3.82336174920189364e+00
1126,1,2.23538751201201258e+01,1,6.92710729000000015e+02,7.98556920765682943e+00,1.26436770667060099e+01,1.20896664646772817e-01,1.93454647340495214e+01,4.54105813241547907e+00
1186,1,1.72576141963511560e+01,1,7.44190034999999966e+02,8.02132280529587760e+00,1.25065808474842530e+01,1.18533658488946120e-01,1.93066845121837112e+01,4.50227791054966886e+00
1246,1,3.35203748184354993e+01,1,7.75510809999999992e+02,7.91725884969975890e+00,1.27758057734232864e+01,1.19114648967564116e-01,1.92838395290199323e+01,4.47943292738588994e+00
1306,1,7.67971627554331349e-02,1,7.99273731999999995e+02,8.17832267605573016e+00,1.20455599401431233e+01,1.20446106310448123e-01,1.92361536706568259e+01,4.43174706902278359e+00
1366,1,2.89584280955080402e+01,1,8.28150274999999965e+02,7.93408443053709078e+00,1.25796316386629119e+01,1.19468531948985809e-01,1.88587205679190824e+01,4.05431396628504004e+00
1426,1,1.95756580036106804e+01,1,8.61805042999999955e+02,8.13875556158924418e+00,1.22578787821092217e+01,1.18183551164359635e-01,1.94296986520532577e+01,4.62529205041921543e+00
1486,1,4.31121325901814743e+01,1,8.93847269999999980e+02,8.11138149243861406e+00,1.22547995072058047e+01,1.18762110270264246e-01,1.93711185503852974e+01,4.56671194875125508e+00
1546,1,3.39723652399854359e+01,1,9.24587033000000019e+02,8.10199696953147708e+00,1.22987592372230328e+01,1.17657812253758487e-01,1.94044345059131800e+01,4.60002790427913766e+00
1606,1,2.57493248253208762e+01,1,9.46254521999999952e+02,8.25207597183492858e+00,1.18706262966102809e+01,1.20182395334050354e-01,1.92820237818303362e+01,4.47761718019629384e+00
1666,1,4.16161887263248076e+01,0,9.52975028999999950e+02,8.02225685840234171e+00,1.22553830493198532e+01,1.16282834780050082e-01,1.91796253416104960e+01,4.37521873997645372e+00
1726,1,1.93326072838875618e+01,1,9.75113674999999944e+02,8.29734337321055726e+00,1.18424855500839090e+01,1.19192067920508141e-01,1.94234077836723742e+01,4.61900118203833188e+00
1786,1,2.33726209641336169e-01,1,9.96572820999999976e+02,8.11551444463710148e+00,1.22580879269986927e+01,1.24450928495347043e-01,1.93074205177106535e+01,4.50301391607661117e+00
1846,1,6.77883951194537815e-02,1,1.01756016000000000e+03,8.17833043191166453e+00,1.20455601319121541e+01,1.20446106310448109e-01,1.92361536706568259e+01,4.43174706902278359e+00
