box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
32,1,4.35692474894059956e+00,0,1.60861720000000012e+01,8.09156046249946748e+00,1.20728938781427413e+01,1.36613097247214932e-01,1.96696837654994710e+01,4.86527716386542863e+00
64,1,5.36610141283318995e+01,0,2.29965130000000002e+01,8.02919333969253834e+00,1.22100908887260324e+01,1.30353992101203242e-01,1.94290711341987681e+01,4.62466453256472576e+00
96,1,4.45607534858478331e+01,0,2.98055699999999995e+01,8.02005627672289734e+00,1.22915345852297602e+01,8.94475938535661819e-02,1.85142863370984117e+01,3.70987973546436933e+00
128,1,2.35926185930658754e+01,0,3.64466060000000027e+01,8.18812759306045557e+00,1.19064562135507543e+01,1.41527369275499693e-01,1.96711743244515560e+01,4.86676772281751369e+00
160,1,4.07527151261765468e+01,1,6.67999310000000008e+01,8.22845621401610927e+00,1.20114525802886725e+01,1.34196736107739356e-01,1.95818225351316748e+01,4.77741593349763249e+00
192,1,1.47785715107948050e+01,1,8.77138539999999978e+01,8.06164039020702461e+00,1.23272600763695372e+01,9.54223993392930570e-02,1.87178304878410557e+01,3.91342388620701342e+00
224,1,3.89168748468519965e+01,0,9.42457969999999960e+01,7.90732209816539910e+00,1.24640287844191029e+01,1.46416626435279223e-01,1.95885109016053853e+01,4.78410429997134301e+00
256,1,2.86604746192190554e+01,1,1.24350879000000006e+02,8.14812574378467325e+00,1.21875244912460445e+01,1.30690409770994997e-01,1.95844094320120305e+01,4.78000283037798823e+00
288,1,1.41070524146560317e+01,0,1.31003111999999987e+02,8.11132790664175474e+00,1.21094701646704479e+01,9.02510572153624735e-02,1.86791860504573677e+01,3.87477944882332537e+00
320,1,2.15985606010020490e+01,1,1.60997018999999995e+02,8.06903410831896828e+00,1.23685222832310302e+01,1.46720596280831006e-01,1.97019667590604932e+01,4.89756015742645090e+00
352,1,2.34837108772033218e+01,1,1.81489807000000013e+02,7.91307315835484726e+00,1.25952761999558724e+01,1.34747107588915810e-01,1.92486956198383403e+01,4.44428901820429800e+00
384,1,9.71975098114572944e+00,0,1.88132974999999988e+02,7.86094262720972647e+00,1.26842440066441906e+01,8.38203422388659192e-02,1.79328231967199976e+01,3.12841659508595527e+00
416,1,3.30026783423196974e+01,1,2.18087549999999993e+02,8.16120636575730707e+00,1.21707781685565912e+01,1.50473267659360560e-01,1.97112956040645635e+01,4.90688900243052117e+00
448,1,1.92242323764950136e+01,1,2.48286383999999998e+02,8.10186592680295092e+00,1.23289552035464283e+01,1.34841210216025853e-01,1.95385720503634843e+01,4.73416544872944201e+00
480,1,9.43034709096274071e+00,1,2.69584934999999973e+02,7.95317895094334038e+00,1.26194107497166268e+01,9.43806118994848786e-02,1.84906456058732509e+01,3.68623900423920858e+00
512,1,7.26825498433007056e+00,0,2.76077139999999986e+02,7.66844151267306540e+00,1.30640811334220643e+01,1.47758102818412645e-01,1.93385613342362177e+01,4.53415473260217539e+00
544,1,3.05973439059486196e+00,1,3.07206754999999987e+02,8.00558851869077870e+00,1.25499112574542959e+01,1.31766158029132135e-01,1.95051891063327751e+01,4.70078250469873282e+00
576,1,5.87833720693578243e+00,0,3.13940363999999988e+02,8.02530372906452349e+00,1.23312443850104696e+01,9.03213373627273775e-02,1.85586909467094117e+01,3.75428434507536934e+00
608,1,2.34405035959791519e+01,1,3.44010062000000005e+02,7.96564482745034041e+00,1.26756606159955538e+01,1.53072433389786683e-01,1.97173519333018490e+01,4.91294533166780667e+00
640,1,2.11877255270803673e+01,0,3.50511040999999977e+02,7.64307225245990729e+00,1.32094656573016049e+01,1.31042331486958569e-01,1.86520528037068871e+01,3.84764620207284480e+00
672,1,4.62749369596851778e+01,0,3.57114865000000009e+02,7.79460926224149109e+00,1.29224385561878883e+01,8.73137460726542969e-02,1.79610912671126464e+01,3.15668466547860405e+00
704,1,3.28242960836420110e+01,1,3.87110230000000001e+02,8.06848576853714228e+00,1.24358819307700283e+01,1.55227705669164689e-01,1.97283389230895274e+01,4.92393232145548509e+00
736,1,1.37637009480568047e+01,1,4.07542456000000016e+02,8.02936829564157861e+00,1.24689219124301900e+01,1.41422660298063663e-01,1.94540404615148255e+01,4.64963385988078315e+00
768,1,5.08708100048404575e+01,0,4.14098925000000008e+02,7.84195072720518382e+00,1.28601996422822058e+01,9.26014199384914416e-02,1.83070249641346621e+01,3.50261836250061975e+00
800,1,9.19729491152326801e+01,0,4.20529305000000022e+02,7.67992100129216038e+00,1.32656487487189381e+01,1.61162275827190588e-01,1.97316637163554383e+01,4.92725711472139594e+00
832,1,4.15720441328680934e+00,1,4.40954723999999999e+02,7.91569117343346029e+00,1.26938978940901777e+01,1.39858262926655125e-01,1.93736756658557709e+01,4.56926906422172863e+00
864,1,4.40904823543582722e+01,0,4.47522544999999980e+02,8.04184322442456434e+00,1.23867139071563024e+01,9.82038295576474207e-02,1.87918787982688862e+01,3.98747219663484387e+00
896,1,1.64821069000919316e+01,1,4.67986814999999979e+02,7.91491513067948560e+00,1.27106132219539649e+01,1.58601782408762076e-01,1.96514499813167554e+01,4.84704337968271304e+00
928,1,7.59804516536563455e+01,0,4.74507472000000007e+02,7.69110255469480286e+00,1.32219878201446495e+01,1.39390088983376653e-01,1.92638929195041229e+01,4.45948631787008054e+00
960,1,7.94247333521505823e+01,0,4.81083038999999985e+02,7.82723546014919691e+00,1.29280331689390309e+01,9.44724190663382979e-02,1.83094884770577977e+01,3.50508187542375538e+00
992,1,4.18407851828749600e+00,0,4.87528271000000018e+02,7.91147421271726348e+00,1.26130184639209997e+01,1.52842901542026066e-01,1.97205451361398048e+01,4.91613853450576244e+00
1024,1,2.33947120218332643e+01,1,5.17744970999999964e+02,8.06846385491709484e+00,1.24500158267928640e+01,1.36813968956707138e-01,1.95758844238027265e+01,4.77147782216868421e+00
