box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
47,1,7.08641129717541673e-01,1,7.03516840000000059e+01,8.11646999440006489e+00,1.21564751139330962e+01
95,1,1.11259381708823355e+01,1,1.05001609000000002e+02,7.96313881954188929e+00,1.23308892632626321e+01
143,1,1.28772330461273015e+01,2,4.92566437000000008e+02,8.12063065504247028e+00,1.20042552847032002e+01
191,1,2.25428023970835483e+01,1,5.71668586000000005e+02,8.01911638208600763e+00,1.23426481038651961e+01
239,1,5.61336140694950814e+00,2,9.56231676999999991e+02,7.85559621088593918e+00,1.25727350273683243e+01
287,1,1.02573007270865375e+01,2,1.34283956800000010e+03,8.04646176198722785e+00,1.21587702147489249e+01
335,1,2.03062203351053228e+01,1,1.42156142799999998e+03,7.94086075145541326e+00,1.25172745125074361e+01
383,1,1.23876572362634363e+00,2,1.67529741300000001e+03,7.77147557180844206e+00,1.27902569327030058e+01
431,1,1.75791115988004165e+00,2,2.06189948400000003e+03,7.99589600485732621e+00,1.22857713006063882e+01
479,1,3.37829043036093921e+01,1,2.14069309599999997e+03,7.88733373655993741e+00,1.26699826483884266e+01
527,1,8.99016896362282836e+00,1,2.17562946300000021e+03,7.71459845649153486e+00,1.29614468462693004e+01
575,1,5.18743763201996444e-02,2,2.34162925399999995e+03,7.97579711202087793e+00,1.23707076738905499e+01
623,1,3.02382781484800631e+01,1,2.37785044100000005e+03,7.72377106839211081e+00,1.29964640551668378e+01
671,1,3.00549549479131386e+01,1,2.41199375599999985e+03,7.71048233056985133e+00,1.30437812708084220e+01
719,1,1.40648649857895549e+01,1,2.44612658199999987e+03,7.98413950722853993e+00,1.24096444405607631e+01
767,1,1.20650151687318896e+01,0,2.46024244700000008e+03,7.77561221867113073e+00,1.29555523798683829e+01
815,1,5.20882665626288315e+01,0,2.47436698699999988e+03,7.75763341175306920e+00,1.30302227000270570e+01
863,1,1.65070951711969194e+01,0,2.48838177099999984e+03,8.01813000915821661e+00,1.24005658649763468e+01
911,1,1.77640245736486406e+01,0,2.50234363299999995e+03,7.77293675257790539e+00,1.29481182041407799e+01
959,1,4.78877147292373948e+01,0,2.51631025700000009e+03,7.75922968082296727e+00,1.30354323735093214e+01
1007,1,1.11078516272182704e+01,0,2.53028634499999998e+03,8.02189503461460696e+00,1.24082063628523436e+01
1055,1,6.79158833944757134e+00,1,2.56528926600000023e+03,7.72219110693199706e+00,1.29697386401205570e+01
1103,1,2.28979612810834965e+01,1,2.59926997299999994e+03,7.71244550820174002e+00,1.30606818969869654e+01
1151,1,5.50097943028905689e+00,1,2.63318517900000006e+03,7.98080154601662972e+00,1.24455247389976744e+01
1199,1,4.18880829613126480e+01,2,3.01877833099999998e+03,7.71910344438405360e+00,1.29042681561877828e+01
1247,1,8.32055051206481266e-01,1,3.05373852900000020e+03,7.71888646339106543e+00,1.29847229909648600e+01
1295,1,2.93299292044379527e+01,1,3.13241560799999979e+03,8.11428634244172464e+00,1.22416035446700597e+01
1343,1,3.03315985494058395e+01,2,3.51875952400000006e+03,7.76453500275478881e+00,1.27559987605567979e+01
1391,1,5.02362423306480252e+01,2,3.90348317399999996e+03,7.77779188398550936e+00,1.28149721510151302e+01
1439,1,1.96658230938348026e+01,1,3.98195574200000010e+03,8.14159950057652892e+00,1.21622001399368376e+01
1487,1,3.05078831053747166e+01,1,4.06052628800000002e+03,8.02059432972382957e+00,1.23135571615288963e+01
1535,1,1.11480189310241684e+01,1,4.13799410499999976e+03,8.01798635717956465e+00,1.23754541667908775e+01
1583,1,2.12394221876889873e+01,1,4.21651554099999976e+03,8.19382318254897513e+00,1.20534187602192517e+01
1631,1,6.37922780931209843e+00,2,4.59985371500000019e+03,7.95290635353107511e+00,1.23154379852278240e+01
1679,1,8.93848305731815174e+00,1,4.63371274900000026e+03,7.97000446813818453e+00,1.23535374080020528e+01
