box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
40,1,3.56884696136424395e+00,2,2.15008457999999990e+02,8.00722073485367858e+00,1.22329198942899247e+01,1.23988648762770146e-01,1.60000000000000000e+01,1.19559339836595768e+00
80,1,5.46155982349575240e+01,1,2.81498476999999980e+02,8.03724225064648756e+00,1.21809782951459855e+01,1.48311295878850113e-01,1.60000000000000000e+01,1.19559339836595768e+00
120,1,1.78777410075810010e+01,2,4.84382175000000018e+02,7.99761125515917826e+00,1.22590379217164820e+01,8.77793548716973571e-02,1.60000000000000000e+01,1.19559339836595768e+00
160,1,1.51410916217156171e+01,1,5.23668635999999992e+02,8.14377688589995330e+00,1.20560900273447729e+01,1.31584162936110444e-01,1.60000000000000000e+01,1.19559339836595768e+00
200,1,2.90134720253108469e+00,2,6.08876594999999952e+02,7.89609148745375133e+00,1.25254087613579816e+01,1.40357781131703246e-01,1.60000000000000000e+01,1.19559339836595768e+00
240,1,2.99588632207454708e+01,1,6.20866289000000052e+02,7.90121951327154015e+00,1.25388789234404197e+01,8.58205213823871327e-02,1.60000000000000000e+01,1.19559339836595768e+00
280,1,2.91752061934534765e+01,1,6.49059183999999959e+02,8.26301675546210213e+00,1.19592982919612556e+01,1.32729644018928256e-01,1.60000000000000000e+01,1.19559339836595768e+00
320,1,1.51327838027771691e+01,1,6.77635990999999990e+02,8.04984361725191278e+00,1.23901956003474307e+01,1.46718034985862306e-01,1.60000000000000000e+01,1.19559339836595768e+00
360,1,2.78470304882981594e+01,1,7.11169464999999946e+02,7.87695630695760673e+00,1.27048267838302777e+01,8.96755196700428914e-02,1.60000000000000000e+01,1.19559339836595768e+00
400,1,2.69103874298605206e+00,2,8.27159609000000046e+02,7.98011256704631844e+00,1.24086752612570486e+01,1.26674877989880780e-01,1.60000000000000000e+01,1.19559339836595768e+00
440,1,3.00726092194382488e+00,2,9.02455474999999979e+02,8.00556039783101880e+00,1.23222974405943795e+01,1.42119508241737275e-01,1.60000000000000000e+01,1.19559339836595768e+00
480,1,5.18201123956281151e-01,1,9.30322594999999978e+02,7.79805957574645081e+00,1.28472792949236450e+01,8.30169892978767920e-02,1.60000000000000000e+01,1.19559339836595768e+00
520,1,2.38744045238115490e+01,2,1.05015975099999991e+03,7.69092985175447996e+00,1.31251084966496254e+01,1.21347155609997676e-01,1.60000000000000000e+01,1.19559339836595768e+00
560,1,2.82260145919478944e+01,2,1.17706915800000002e+03,7.92207454960697000e+00,1.25386666755487095e+01,1.42172145863106891e-01,1.60000000000000000e+01,1.19559339836595768e+00
600,1,1.66561661707610966e+01,1,1.20994186599999989e+03,7.92002952247770864e+00,1.26133389340890769e+01,8.98106250082021385e-02,1.60000000000000000e+01,1.19559339836595768e+00
640,1,4.51452761148928872e+01,1,1.23805669300000000e+03,7.78140766936485040e+00,1.30101064213355038e+01,1.39706018725826830e-01,1.60000000000000000e+01,1.19559339836595768e+00
680,1,5.35440071177278512e+01,1,1.28309938600000010e+03,7.77819607986029027e+00,1.28771251319696560e+01,1.52106203073484991e-01,1.60000000000000000e+01,1.19559339836595768e+00
720,1,4.23965156298146439e+00,1,1.31111608700000011e+03,8.00407702301521695e+00,1.24020451741995785e+01,9.32173938161697802e-02,1.60000000000000000e+01,1.19559339836595768e+00
760,1,1.34056660110875789e+01,1,1.34892067100000008e+03,7.82438974163371626e+00,1.28902724379021016e+01,1.39215463106874687e-01,1.60000000000000000e+01,1.19559339836595768e+00
800,1,9.10607833866260847e+01,1,1.36841919899999994e+03,7.67906180024900831e+00,1.32667101484957950e+01,1.61162275827190588e-01,1.60000000000000000e+01,1.19559339836595768e+00
840,1,3.52227160917118809e+01,1,1.40178722300000004e+03,7.88285325466410391e+00,1.27322895133477765e+01,9.18615485860755920e-02,1.60000000000000000e+01,1.19559339836595768e+00
