box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
18,1,2.06607946849666924e+01,1,6.19389150000000015e+01,8.19400692939908382e+00,1.18990838019164205e+01,1.59675927163813181e-01,1.60000000000000000e+01,1.19559339836595768e+00
58,1,1.19566117470482425e+00,1,8.00210469999999958e+01,7.96432737023438708e+00,1.23246379209453352e+01,1.10871486146268600e-01,1.60000000000000000e+01,1.19559339836595768e+00
98,1,1.28105267158662173e+00,1,1.08959732000000002e+02,8.11696985042907571e+00,1.21552491232977484e+01,1.06798299439012173e-01,1.60000000000000000e+01,1.19559339836595768e+00
138,1,5.19251142282166356e+01,1,1.61597946000000007e+02,8.37968625478532481e+00,1.17119604304635612e+01,1.60646436229084977e-01,1.60000000000000000e+01,1.19559339836595768e+00
178,1,2.67942518294333354e-01,2,2.42239842000000010e+02,8.04278223977949303e+00,1.22473954008232173e+01,1.13882105567967573e-01,1.60000000000000000e+01,1.19559339836595768e+00
218,1,4.27895419609706380e+01,1,2.88691283999999996e+02,7.90749901076697626e+00,1.25433266131548411e+01,1.00658241605687787e-01,1.60000000000000000e+01,1.19559339836595768e+00
258,1,5.02642524257886691e+00,1,3.28252023000000008e+02,7.99320237122872612e+00,1.22904163923991501e+01,1.54701585050533996e-01,1.60000000000000000e+01,1.19559339836595768e+00
298,1,1.26889365146230233e+01,1,3.61593692999999973e+02,8.14411361539139378e+00,1.21287462817735197e+01,1.18249316659453277e-01,1.60000000000000000e+01,1.19559339836595768e+00
338,1,3.28541965549348447e-01,2,4.52025531999999998e+02,7.77248107155409329e+00,1.27887429032465469e+01,9.26425468772108240e-02,1.60000000000000000e+01,1.19559339836595768e+00
378,1,2.79666672245186021e+01,1,5.06980200000000025e+02,7.76404632048313292e+00,1.27631420847998722e+01,1.62108406856702414e-01,1.60000000000000000e+01,1.19559339836595768e+00
418,1,5.80878235921488795e+00,1,5.49818792000000030e+02,8.05115276591306461e+00,1.22397070197460760e+01,1.16699976242324574e-01,1.60000000000000000e+01,1.19559339836595768e+00
458,1,3.40106107800752397e+01,1,5.87083501999999953e+02,7.94718453013189485e+00,1.25170305654891525e+01,1.03042486211008893e-01,1.60000000000000000e+01,1.19559339836595768e+00
498,1,4.84805315960532184e+01,1,6.07336310000000026e+02,7.69617070332480502e+00,1.30326455342208245e+01,1.72129985067188934e-01,1.60000000000000000e+01,1.19559339836595768e+00
538,1,1.88933407345931279e+01,1,6.41157420999999999e+02,7.83518607856256466e+00,1.26845146381735656e+01,1.13607489462016834e-01,1.60000000000000000e+01,1.19559339836595768e+00
578,1,1.42635626945489200e+01,1,6.63645207000000028e+02,7.98474774684002409e+00,1.24089421995333442e+01,1.03030353151126020e-01,1.60000000000000000e+01,1.19559339836595768e+00
618,1,1.53563167606698094e+01,1,6.85937879999999950e+02,7.66429008608763329e+00,1.30726037065265093e+01,1.68799334687827873e-01,1.60000000000000000e+01,1.19559339836595768e+00
658,1,2.30921216469934052e+01,1,7.35412777000000006e+02,7.68421286764652489e+00,1.31358055357455825e+01,1.13874371959849341e-01,1.60000000000000000e+01,1.19559339836595768e+00
698,1,9.09625111751662985e+00,1,7.73134281999999985e+02,7.88005152567189970e+00,1.26507617356964719e+01,9.89049883728010670e-02,1.60000000000000000e+01,1.19559339836595768e+00
738,1,2.96483774937582858e+01,0,7.87474346999999966e+02,7.93193540562300292e+00,1.25836914341301025e+01,1.74676386807217116e-01,1.60000000000000000e+01,1.19559339836595768e+00
778,1,4.91311549585118215e+01,1,8.46297258000000056e+02,7.83382454768634862e+00,1.29527740580863462e+01,1.25867805307216307e-01,1.60000000000000000e+01,1.19559339836595768e+00
818,1,1.22859860457356973e+01,1,9.11822018999999955e+02,7.77578810906998363e+00,1.29553325834218356e+01,1.01748630187334044e-01,1.60000000000000000e+01,1.19559339836595768e+00
858,1,3.69722928236809807e+01,0,9.26280494999999974e+02,8.06351529868848438e+00,1.23246361888485954e+01,1.74727025762042354e-01,1.60000000000000000e+01,1.19559339836595768e+00
898,1,1.31467508378338636e+01,1,9.99675451999999950e+02,7.79160733160406949e+00,1.28490197588120587e+01,1.14301749311523232e-01,1.60000000000000000e+01,1.19559339836595768e+00
938,1,9.46140943161795462e+01,1,1.04590393100000006e+03,7.78684667892516202e+00,1.30325990452173563e+01,1.08175174364932458e-01,1.60000000000000000e+01,1.19559339836595768e+00
978,1,2.89189203404857942e+01,1,1.08223695799999996e+03,7.80854001582405566e+00,1.28480730287764491e+01,1.74899837567074862e-01,1.60000000000000000e+01,1.19559339836595768e+00
1018,1,5.33097927729990673e+00,1,1.13654064100000005e+03,7.97601994643013867e+00,1.24061230306662100e+01,1.15578189214143867e-01,1.60000000000000000e+01,1.19559339836595768e+00
1058,1,2.29966665518192031e+01,1,1.20077939599999991e+03,7.71266824300583043e+00,1.30603585720066011e+01,9.68437579308592811e-02,1.60000000000000000e+01,1.19559339836595768e+00
1098,1,2.28444445139275203e+01,1,1.23714500399999997e+03,7.62561741759397638e+00,1.32093148700279936e+01,1.72104030958495829e-01,1.60000000000000000e+01,1.19559339836595768e+00
1138,1,2.79038672664245269e+01,1,1.30054560300000003e+03,8.06388335719221416e+00,1.24595237785613318e+01,1.22742626033866542e-01,1.60000000000000000e+01,1.19559339836595768e+00
1178,1,2.34548803057647177e+01,1,1.34758061100000009e+03,7.94373650708348755e+00,1.25469576154608333e+01,1.02862394580681082e-01,1.60000000000000000e+01,1.19559339836595768e+00
1218,1,4.78869421886357003e+01,1,1.38439437999999996e+03,7.69677050260546025e+00,1.30346461139501315e+01,1.71726658891989153e-01,1.60000000000000000e+01,1.19559339836595768e+00
1258,1,1.18747611352938200e+01,1,1.43122325300000011e+03,7.83482172422340817e+00,1.27036005250351760e+01,1.13319431735570214e-01,1.60000000000000000e+01,1.19559339836595768e+00
1298,1,2.00851755800815965e+01,1,1.47795459699999992e+03,8.14193564652758717e+00,1.21613347303668125e+01,1.07588957215719871e-01,1.60000000000000000e+01,1.19559339836595768e+00
1338,1,1.44947490871707885e-01,1,1.55276107999999999e+03,7.93808072348162419e+00,1.25032780576578553e+01,1.64863697839159357e-01,1.60000000000000000e+01,1.19559339836595768e+00
1378,1,1.42043427693109123e+01,1,1.60766568499999994e+03,7.77984840863790517e+00,1.28071441702376756e+01,1.10583390204717941e-01,1.60000000000000000e+01,1.19559339836595768e+00
1418,1,2.04110603515984934e+01,1,1.65576955900000007e+03,8.06208988713490626e+00,1.22536499290351930e+01,1.05288785824321607e-01,1.60000000000000000e+01,1.19559339836595768e+00
1458,1,2.52834224374753624e+01,1,1.71220028900000011e+03,8.20407443992494301e+00,1.20151483960950767e+01,1.61017128822694700e-01,1.60000000000000000e+01,1.19559339836595768e+00
1498,1,8.20355724173076339e-01,2,1.91929800900000009e+03,7.84381037416194182e+00,1.25845116975044853e+01,1.07150783797772459e-01,1.60000000000000000e+01,1.19559339836595768e+00
1538,1,3.16245404985473044e+01,2,2.05748002099999985e+03,8.02137937338322615e+00,1.23114863699809263e+01,1.03949154713443459e-01,1.60000000000000000e+01,1.19559339836595768e+00
1578,1,3.73348213830951181e+01,1,2.11437356000000000e+03,8.30954492309456683e+00,1.18515222251751204e+01,1.66775604247998033e-01,1.60000000000000000e+01,1.19559339836595768e+00
1618,1,5.49515404913469752e+00,1,2.15973381299999983e+03,8.15643351193311794e+00,1.20214122102191840e+01,1.18713544379621741e-01,1.60000000000000000e+01,1.19559339836595768e+00
1658,1,3.00797836631446671e+01,1,2.20669083899999987e+03,7.99936368027848221e+00,1.23062593182654094e+01,1.02859993815445888e-01,1.60000000000000000e+01,1.19559339836595768e+00
1698,1,1.75161882931190647e+01,1,2.26404700800000001e+03,8.12070621274009063e+00,1.20114377283774374e+01,1.59814607375092677e-01,1.60000000000000000e+01,1.19559339836595768e+00
1738,1,5.67005482547806849e+00,1,2.30188510499999984e+03,8.28332751185749316e+00,1.18679068340747254e+01,1.19192067920508155e-01,1.60000000000000000e+01,1.19559339836595768e+00
1778,1,1.42417170844049963e+01,1,2.32458031799999981e+03,7.98474106163248187e+00,1.24089477991500043e+01,1.03030353151126020e-01,1.60000000000000000e+01,1.19559339836595768e+00
1818,1,1.30582852568104322e+01,1,2.36109379200000012e+03,8.03655981695203891e+00,1.23259747519087313e+01,1.67004010674557835e-01,1.60000000000000000e+01,1.19559339836595768e+00
1858,1,2.84962369772292945e+00,1,2.40640663799999993e+03,8.21988489970920710e+00,1.19545112325071976e+01,1.20969559916876565e-01,1.60000000000000000e+01,1.19559339836595768e+00
1898,1,2.03827362378888921e+01,1,2.45392954700000018e+03,8.06206301484740351e+00,1.22537052085214810e+01,1.05288785824321635e-01,1.60000000000000000e+01,1.19559339836595768e+00
1938,1,2.96284633481913673e+01,0,2.46840308000000005e+03,7.93192182648771649e+00,1.25837057822466445e+01,1.74676386807217116e-01,1.60000000000000000e+01,1.19559339836595768e+00
1978,1,1.67396305868246316e+01,1,2.51601001099999985e+03,8.00781064809808818e+00,1.23584991421541286e+01,1.17495032619105960e-01,1.60000000000000000e+01,1.19559339836595768e+00
2018,1,1.47969609709725987e+01,1,2.56191326100000015e+03,8.15151724008781287e+00,1.20588334689579924e+01,1.07511577321130980e-01,1.60000000000000000e+01,1.19559339836595768e+00
2058,1,4.13597326520459774e+00,1,2.61688970500000005e+03,7.78650174082540225e+00,1.27268788304883014e+01,1.62766588708119830e-01,1.60000000000000000e+01,1.19559339836595768e+00
2098,1,1.31332534028899808e+01,1,2.65562285400000019e+03,7.79159769798304147e+00,1.28490292020830186e+01,1.14301749311523218e-01,1.60000000000000000e+01,1.19559339836595768e+00
