box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
17,1,6.27112360433244476e+00,1,2.81007919999999984e+01,8.14313921642106031e+00,1.19559420092573170e+01
57,1,9.63145728698843584e+00,1,4.03372590000000031e+01,7.97769578227075815e+00,1.22750706245944219e+01
97,1,2.13098333334161509e+01,1,7.85398090000000053e+01,8.12873449623994304e+00,1.21852298604238580e+01
137,1,1.11083562914571132e+00,1,1.14819845000000001e+02,8.22324718104828278e+00,1.18616932247011917e+01
177,1,1.57954082106412841e+00,1,1.38949061000000000e+02,8.04987418137027078e+00,1.22163864428832767e+01
217,1,2.97916647252440896e+01,1,1.68268225000000001e+02,7.94278136453435746e+00,1.25223531313359988e+01
257,1,2.00280931472157420e+01,1,2.17933189999999996e+02,8.07719489694958703e+00,1.21815586671000240e+01
297,1,2.23731677627238597e+01,1,2.73312958999999978e+02,8.20808337500997887e+00,1.20921154627298044e+01
337,1,3.10519359516639497e+01,1,3.35542445999999984e+02,7.83632301091784811e+00,1.27184660149470385e+01
377,1,4.25874042790818805e+01,2,5.83733826000000022e+02,7.80220693098215090e+00,1.28380199581567620e+01
417,1,5.86216513471497080e+00,1,6.27294941999999992e+02,8.05844973582320456e+00,1.22199931702935665e+01
457,1,1.05053206299036361e+00,1,6.54093223999999964e+02,7.84088085203928298e+00,1.26938529418580472e+01
497,1,3.39403927568687322e+01,1,7.14633066999999983e+02,7.65967354829989588e+00,1.30762941120091405e+01
537,1,8.14890462378538771e+00,1,7.69030023000000028e+02,7.86082712300860376e+00,1.27125718014970897e+01
577,1,4.23965156298140045e+00,1,8.19225004000000013e+02,8.00407702301521695e+00,1.24020451741995785e+01
617,1,5.35440071177276451e+01,1,9.03622511000000031e+02,7.77819607986028938e+00,1.28771251319696560e+01
657,1,4.51452761148929653e+01,1,9.57096569000000045e+02,7.78140766936485040e+00,1.30101064213355020e+01
697,1,1.66561661707609616e+01,1,1.01391287599999998e+03,7.92002952247770864e+00,1.26133389340890769e+01
737,1,2.93052483953747611e-01,1,1.05709031200000004e+03,7.90408565837586519e+00,1.26150430005335021e+01
777,1,1.88255992326244943e+01,1,1.09632385799999997e+03,7.65353552752734334e+00,1.32179662063242258e+01
817,1,4.63992367880764718e+01,1,1.15864531099999999e+03,7.83792782942276478e+00,1.28653478806131769e+01
857,1,1.51648055970455111e+01,1,1.17766581999999994e+03,8.03663372632318662e+00,1.23600518133782256e+01
897,1,4.01401011433533128e+00,1,1.21901553399999989e+03,7.91050050718667297e+00,1.26974325392812393e+01
937,1,1.14135110019742669e+02,1,1.24284402900000009e+03,7.84600277797680601e+00,1.29301226202094082e+01
977,1,1.73418149925722922e+01,1,1.27077019399999995e+03,7.77554197993350904e+00,1.28814963933473710e+01
1017,1,2.60053087667344940e+00,1,1.30421927299999993e+03,7.98398550028136178e+00,1.23868243758910612e+01
1057,1,2.89521975139711714e+01,1,1.35262149599999998e+03,7.78894946243826869e+00,1.29480884856288139e+01
1097,1,5.22014138568660258e+00,1,1.40563002000000006e+03,7.58463076380150891e+00,1.32499169817467255e+01
1137,1,2.27213179730333756e+01,1,1.46767330900000002e+03,8.05887787324216553e+00,1.24608046759079496e+01
1177,1,5.97107198155256924e-01,1,1.49115084099999990e+03,7.99074943393884407e+00,1.25269264992173071e+01
1217,1,3.23430445749474700e+01,1,1.51873441699999989e+03,7.66229736852904697e+00,1.30794949018340141e+01
1257,1,3.17895981896169744e+00,1,1.54322656200000006e+03,7.85949008047170938e+00,1.27267149289636023e+01
1297,1,8.63045829217762162e+00,1,1.56735277900000006e+03,8.18141531625994389e+00,1.21889096938073340e+01
1337,1,1.18138171198842912e+01,1,1.59667615000000001e+03,7.93443140761242294e+00,1.25190239811367050e+01
1377,1,1.51043671320250397e+01,1,1.62961544600000002e+03,7.77716952493202740e+00,1.28220099807564711e+01
1417,1,1.05040560765885473e+01,2,1.73474287699999991e+03,7.92500290188345513e+00,1.24560652537330441e+01
1457,1,3.12285920692662060e+01,1,1.76281250900000009e+03,8.20373549844814498e+00,1.20539327990552856e+01
1497,1,3.89670604312135112e+01,2,1.89370390900000007e+03,7.85613758200742485e+00,1.25654532171778648e+01
1537,1,9.69935969079145366e+00,2,2.09934107300000005e+03,7.89179048266106609e+00,1.25169233036902394e+01
1577,1,3.84594586971867614e+00,1,2.12258939700000019e+03,8.14201586760855811e+00,1.19970406486187713e+01
1617,1,9.45707528691775323e+00,2,2.23642817999999988e+03,8.17739744028119908e+00,1.19790442044746648e+01
1657,1,4.89545715794086291e+01,1,2.29427197900000010e+03,8.01429737277064902e+00,1.23202556586580094e+01
1697,1,6.91387355185128172e-01,2,2.38801327399999991e+03,8.06600048148896676e+00,1.20774431114327463e+01
1737,1,2.71667440197339261e+00,2,2.48546284000000014e+03,8.17864804752773900e+00,1.19386577091324533e+01
1777,1,4.21432996476067956e+00,1,2.53013133000000016e+03,8.00406448019541017e+00,1.24020568999022149e+01
1817,1,8.29378934007982593e+00,1,2.58949380100000008e+03,8.13029858951276019e+00,1.22358787967085547e+01
1857,1,5.95817306614783249e+00,2,2.75065331900000001e+03,8.09494083585570046e+00,1.20607416430545893e+01
