box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_matrix_lower,lambda3_lower,lambda3_minus_3pi2_over2_lower
54,1,6.87727108949569157e+01,0,2.73114789999999985e+01,8.07764004205400887e+00,1.21119294170627079e+01,1.63987602565635104e-01,1.97335726261674473e+01,4.92916602453340502e+00
114,1,3.88719875128275945e+01,0,4.09235979999999984e+01,8.13726389570857833e+00,1.20041183446325110e+01,1.54789463339854216e-01,1.97330266570907469e+01,4.92862005545670456e+00
174,1,8.53002658150472115e+00,0,5.43021219999999971e+01,8.01408433128050390e+00,1.22354190099558213e+01,1.59350723551484968e-01,1.97333933865072098e+01,4.92898678487316744e+00
234,1,3.28370352386674682e+01,0,6.75873600000000039e+01,7.91714105025410397e+00,1.24285109318594156e+01,1.61171071095479651e-01,1.97340766176705209e+01,4.92967001603647859e+00
294,1,1.54600552958481252e+01,0,8.09449970000000008e+01,8.12678252699563330e+00,1.20909913293433053e+01,1.62083670545402819e-01,1.97331556062367213e+01,4.92874900460267895e+00
354,1,5.44834195128546099e+01,0,9.41468650000000054e+01,7.80642319640123983e+00,1.27326469300596603e+01,1.69068507496520082e-01,1.97350805941848613e+01,4.93067399255081895e+00
414,1,1.36813726312399275e+01,1,1.35943757000000005e+02,8.12170426821570857e+00,1.21824960995634655e+01,1.62794592151276923e-01,1.97334588537876421e+01,4.92905225215359977e+00
474,1,6.70198623780990488e-01,1,1.74802107000000007e+02,7.85355874359749606e+00,1.27107793231109802e+01,1.70104872712821931e-01,1.97348722863963602e+01,4.93046568476231784e+00
534,1,1.61597959524860357e+00,1,2.01485302999999988e+02,7.85268578878296530e+00,1.27185574834549531e+01,1.67962650792614798e-01,1.97348685450381254e+01,4.93046194340408306e+00
594,1,3.02104240736292695e+00,0,2.08216914000000003e+02,7.90742917323761318e+00,1.25688366419370645e+01,1.68030186099243500e-01,1.97342751706040005e+01,4.92986856896995818e+00
654,1,7.97979199750761978e+01,0,2.14871865000000014e+02,7.72140952129627234e+00,1.32217117482372810e+01,1.77613182534940406e-01,1.97365769969349181e+01,4.93217039530087575e+00
714,1,1.90224963667758082e+01,0,2.22069171000000011e+02,8.04375481930873981e+00,1.23179904589055909e+01,1.67004010674557862e-01,1.97337980424346959e+01,4.92939144080065361e+00
774,1,7.77824240176924775e+01,0,2.28685993999999994e+02,7.73411761680069176e+00,1.32286753670555957e+01,1.80381761791988421e-01,1.97366342069208542e+01,4.93222760528681192e+00
834,1,3.12616370408069741e+01,0,2.35275035000000003e+02,7.81189999527576528e+00,1.28469906346332738e+01,1.74378988106700439e-01,1.97352639849210014e+01,4.93085738328695911e+00
894,1,3.12616370408071198e+01,0,2.41981199000000004e+02,7.81189999527576528e+00,1.28469906346332738e+01,1.74378988106700439e-01,1.97352639849210014e+01,4.93085738328695911e+00
954,1,7.77824240176924775e+01,0,2.48995106999999990e+02,7.73411761680069176e+00,1.32286753670555957e+01,1.80381761791988421e-01,1.97366342069208542e+01,4.93222760528681192e+00
1014,1,1.90224963667757976e+01,0,2.56252477999999996e+02,8.04375481930874159e+00,1.23179904589055909e+01,1.67004010674557862e-01,1.97337980424346959e+01,4.92939144080065361e+00
1074,1,7.97979199750762263e+01,0,2.62847064999999986e+02,7.72140952129627234e+00,1.32217117482372810e+01,1.77613182534940406e-01,1.97365769969349181e+01,4.93217039530087575e+00
1134,1,3.02104240736351670e+00,0,2.69480790000000013e+02,7.90742917323761318e+00,1.25688366419370645e+01,1.68030186099243500e-01,1.97342751706040005e+01,4.92986856896995818e+00
1194,1,1.61597959524863199e+00,1,2.98495015000000024e+02,7.85268578878296530e+00,1.27185574834549531e+01,1.67962650792614798e-01,1.97348685450381254e+01,4.93046194340408306e+00
1254,1,6.70198623781054437e-01,1,3.35872815000000003e+02,7.85355874359749606e+00,1.27107793231109785e+01,1.70104872712821958e-01,1.97348722863963602e+01,4.93046568476231784e+00
1314,1,1.36813726312398849e+01,1,3.77599287000000004e+02,8.12170426821570857e+00,1.21824960995634655e+01,1.62794592151276951e-01,1.97334588537876421e+01,4.92905225215359977e+00
1374,1,5.44834195128544820e+01,0,3.90778887999999995e+02,7.80642319640123983e+00,1.27326469300596603e+01,1.69068507496520054e-01,1.97350805941848613e+01,4.93067399255081895e+00
